index,instansi,sinonim,pred,prob
55,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas,kementerian kominfo,1,0.9409804940223694
64,"Bukan instansi BUMN, Kementerian, Pemerintah",tidak tahu,1,0.7756361365318298
91,pt bgr,pt maybank indonesia tbk,1,0.793502151966095
661,"Bukan instansi BUMN, Kementerian, Pemerintah",rekanan,0,0.8555499315261841
662,"Bukan instansi BUMN, Kementerian, Pemerintah",kemko marves,1,0.9211776852607728
668,kementerian luar negeri,smk negeri 1 jogonalan,0,0.9938528537750244
767,pemerintah kabupaten muna barat,kantor pelayanan pajak pratama medan barat,0,0.9977072477340698
771,"Bukan instansi BUMN, Kementerian, Pemerintah",grab,1,0.657802939414978
1176,pt perusahaan gas negara persero tbk,pt sawit sumbermas sarana tbk,0,0.996275782585144
1209,pt bgr,pt nusa niaga perkasa,1,0.5872498154640198
2448,pemerintah kota kotamobagu,pemerintah kota kotamobagu,1,0.9991672039031982
2454,pemkot kota gorontalo,lanal gorontalo,1,0.955328643321991
3658,pemerintah kabupaten ciamis,pemerintah kabupaten ciamis,1,0.998963475227356
4199,pemerintah kabupaten sumba tengah,pemerintah kabupaten sumba tengah ntt,1,0.9566231369972228
4924,pt dana tabungan dan asuransi pegawai negeri   taspen persero,asuransi jiwa sinarmas,0,0.9904416799545288
4926,pemkab cilegon,lapas kelas iia cilegon,1,0.9137048125267028
4929,"Bukan instansi BUMN, Kementerian, Pemerintah",masyarakat,0,0.94659024477005
4956,pt bgr,pt yaza pratama,1,0.91428542137146
5355,bgr indonesia,yayasan reef check indonesia,1,0.9702745079994202
5505,"Bukan instansi BUMN, Kementerian, Pemerintah",kencana sakti,0,0.7667346000671387
5510,pemkab kubu raya,sma raudlatul ulum 2 kubu raya,1,0.5004522800445557
5719,pt telkom indonesia,pt indofood fortuna makmur,0,0.9958099126815796
6117,lembaga pembiayaan ekspor indonesia,lembaga pembiayaan ekspor indonesia,1,0.9987974166870116
6191,pt bank bni,bank bni cabang perguruan tinggi bandung,1,0.9971165657043456
6511,pt telkom,pt citra riantara sejahtera,0,0.99695885181427
6668,pemprov kalimantan tengah,kanwil kemenag jawa tengah,1,0.992048442363739
6836,pt smf,pt intercons,1,0.9873501658439636
