instansi,reference,status,similiarity
Kementerian Koperasi dan Usaha Kecil dan Menengah,Kementerian Koperasi dan UKM,yes,0.8546260595321655
Kementerian Koperasi dan Usaha Kecil dan Menengah,KemenkopUKM,yes,0.41350483894348145
Kementerian Koperasi dan Usaha Kecil dan Menengah,UKM,no,0.37712404131889343
Kementerian Koperasi dan Usaha Kecil dan Menengah,Usaha Kecil dan Menengah,no,0.7228413224220276
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),PANRB,yes,0.3545236587524414
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Kemen PANRB,yes,0.605305552482605
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Negara,no,0.6153305768966675
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Sipil Negara,no,0.5968124866485596
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kemen PPPA,yes,0.3444423973560333
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kementerian PP & PA,yes,0.3659816384315491
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Pemberdayaan Perempuan,no,0.6860275268554688
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Komisi Perlindungan Anak Indonesia,no,0.6857602596282959
Badan Pengawas Pemilihan Umum (Bawaslu),Badan Pengawas Pemilu,yes,0.764690101146698
Badan Pengawas Pemilihan Umum (Bawaslu),Inspektur Utama Badan Pengawas Pemilihan Umum,yes,0.7199642658233643
Badan Pengawas Pemilihan Umum (Bawaslu),Komisi Pemilihan Umum,no,0.5340577960014343
Badan Pengawas Pemilihan Umum (Bawaslu),Panitia Pemilihan Umum,no,0.5179132223129272
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Badan Pengusahaan Batam (BP Batam),yes,0.6870374083518982
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,BP Batam,yes,0.4290753901004791
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Pemerintah Kota Batam,no,0.5181909799575806
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Universitas Batam,no,0.40684667229652405
Badan Pusat Statistik (BPS),BPS Provinsi Sulawesi Utara,yes,0.49359655380249023
Badan Pusat Statistik (BPS),Badan Pusat Statistik Provinsi Bali,yes,0.7451357841491699
Badan Pusat Statistik (BPS),BPSDM,no,0.5974756479263306
Badan Pusat Statistik (BPS),Badan Standardisasi Nasional (BSN),no,0.6282123923301697
Badan Search And Rescue Nasional (Basarnas),Badan SAR Nasional (Basarnas),yes,0.7465428113937378
Badan Search And Rescue Nasional (Basarnas),Badan Nasional Pencarian dan Pertolongan (BNPP),yes,0.6064313054084778
Badan Search And Rescue Nasional (Basarnas),Badan Nasional Penanggulangan Bencana,no,0.3783203363418579
Badan Search And Rescue Nasional (Basarnas),Badan Standardisasi Nasional (BSN),no,0.5811597108840942
