instansi,status,reference,similiarity
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian agraria,0.7964279651641846
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian tata ruang,0.7864242792129517
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian badan pertanahan nasional,0.802217423915863
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,badan pertanahan nasional,0.7675628662109375
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,atr,0.4693349301815033
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,bpn,0.6514918804168701
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,atr/bpn,0.7223767042160034
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,agraria,0.6854970455169678
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,agraria dan tata ruang,0.7643346190452576
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,tata ruang,0.6617797017097473
kementerian energi dan sumber daya mineral (esdm),yes,kementerian energi,0.7632730007171631
kementerian energi dan sumber daya mineral (esdm),yes,kementerian sumber daya mineral,0.767968475818634
kementerian energi dan sumber daya mineral (esdm),yes,esdm,0.6385529041290283
kementerian energi dan sumber daya mineral (esdm),no,energi,0.5224760174751282
kementerian energi dan sumber daya mineral (esdm),no,sumber daya mineral,0.64607173204422
kementerian energi dan sumber daya mineral (esdm),yes,kementerian energi dan sumber daya mineral,0.7775188684463501
kementerian hukum dan hak asasi manusia,yes,kementerian hukum,0.917643666267395
kementerian hukum dan hak asasi manusia,yes,kementerian hukum dan ham,0.9330381155014038
kementerian hukum dan hak asasi manusia,yes,kementerian ham,0.8742634654045105
kementerian hukum dan hak asasi manusia,yes,kementerian hak asasi manusia,0.951795220375061
kementerian hukum dan hak asasi manusia,no,hukum dan ham,0.7645136713981628
kementerian hukum dan hak asasi manusia,no,hukum,0.6205258965492249
kementerian hukum dan hak asasi manusia,no,ham,0.7125377655029297
