instansi,status,reference,similiarity
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian agraria,0.659394383430481
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian tata ruang,0.5498724579811096
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,kementerian badan pertanahan nasional,0.7821142077445984
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,badan pertanahan nasional,0.7279475927352905
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,atr,0.1683870553970337
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,bpn,0.452116459608078
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),yes,atr/bpn,0.6593427062034607
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,agraria,0.5182639956474304
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,agraria dan tata ruang,0.6998291015625
kementerian agraria dan tata ruang/badan pertanahan nasional (bpn),no,tata ruang,0.4365633428096771
kementerian energi dan sumber daya mineral (esdm),yes,kementerian energi,0.6357835531234741
kementerian energi dan sumber daya mineral (esdm),yes,kementerian sumber daya mineral,0.7889813184738159
kementerian energi dan sumber daya mineral (esdm),yes,esdm,0.5345445871353149
kementerian energi dan sumber daya mineral (esdm),no,energi,0.4331625699996948
kementerian energi dan sumber daya mineral (esdm),no,sumber daya mineral,0.5271337628364563
kementerian energi dan sumber daya mineral (esdm),yes,kementerian energi dan sumber daya mineral,0.8418250679969788
kementerian hukum dan hak asasi manusia,yes,kementerian hukum,0.6324244737625122
kementerian hukum dan hak asasi manusia,yes,kementerian hukum dan ham,0.8731591701507568
kementerian hukum dan hak asasi manusia,yes,kementerian ham,0.6220586895942688
kementerian hukum dan hak asasi manusia,yes,kementerian hak asasi manusia,0.8907756805419922
kementerian hukum dan hak asasi manusia,no,hukum dan ham,0.6505685448646545
kementerian hukum dan hak asasi manusia,no,hukum,0.45594343543052673
kementerian hukum dan hak asasi manusia,no,ham,0.3367513120174408
kementerian hukum dan hak asasi manusia,yes,kemenkumham,0.3782499432563782
kementerian kesehatan,yes,kemenkes,0.6099635362625122
kementerian kesehatan,no,kesehatan,0.5686376690864563
kementerian kesehatan,yes,kementerian kemenkes,0.8553772568702698
kementerian komunikasi dan informatika,yes,kementerian komunikasi,0.7889792919158936
kementerian komunikasi dan informatika,yes,kementerian informatika,0.8490502238273621
kementerian komunikasi dan informatika,yes,kominfo,0.5232724547386169
kementerian komunikasi dan informatika,no,informatika,0.5087853670120239
kementerian komunikasi dan informatika,no,komunikasi,0.5171045064926147
kementerian komunikasi dan informatika,no,komunikasi dan informatika,0.683836817741394
kementerian luar negeri,yes,kemlu,0.18538694083690643
kementerian luar negeri,yes,kemlu ri,0.2500152289867401
kementerian luar negeri,no,luar negeri,0.727538526058197
kementerian luar negeri,no,kementrian dalam negeri,0.7941607236862183
kementerian badan usaha milik negara,yes,kementrian bumn,0.5424715280532837
kementerian badan usaha milik negara,yes,kemen bumn,0.3935628831386566
kementerian badan usaha milik negara,no,bumn,0.4227575957775116
kementerian badan usaha milik negara,no,badan usaha milik negara,0.8915055394172668
kementerian pariwisata dan ekonomi kreatif,yes,kemenparekraf,0.5521280169487
kementerian pariwisata dan ekonomi kreatif,yes,kemenparekraf ri,0.5762284398078918
kementerian pariwisata dan ekonomi kreatif,no,dinas pariwisata dan kebudayaan kota bogor,0.5664927363395691
kementerian pariwisata dan ekonomi kreatif,no,dinas kebudayaan dan pariwisata kota bandung,0.5948756337165833
kementerian pemberdayaan perempuan dan perlindungan anak,yes,kemen pppa,0.3444423973560333
kementerian pemberdayaan perempuan dan perlindungan anak,yes,kementrian pp & pa,0.265604168176651
kementerian pemberdayaan perempuan dan perlindungan anak,no,pemberdayaan perempuan,0.6860275268554688
kementerian pemberdayaan perempuan dan perlindungan anak,no,komisi perlindungan anak indonesia,0.6857602596282959
kementerian pertahanan,yes,kemhan,0.33156827092170715
kementerian pertahanan,yes,departemen pertahanan,0.6988124251365662
kementerian pertahanan,no,badan pertahanan nasional,0.6163214445114136
kementerian pertahanan,no,universitas pertahanan,0.6114768385887146
badan pemeriksa keuangan (bpk),yes,bpk,0.48680657148361206
badan pemeriksa keuangan (bpk),yes,badan pemeriksa keuangan,0.7900118827819824
badan pemeriksa keuangan (bpk),no,bpkp,0.5094267725944519
badan pemeriksa keuangan (bpk),no,kementerian keuangan,0.44945940375328064
