,Kata,Index
0,Kemenko,[0]
1,Polhukam,"[0, 1]"
2,Kementerian,"[2, 6, 15, 22, 60, 61]"
3,Koperasi,[2]
4,dan,"[2, 87, 89, 116, 136, 145, 171, 241]"
5,UKM,[2]
6,KemenkopUKM,[3]
7,Kemlu,"[4, 5]"
8,RI,"[5, 11, 13, 17, 21, 25, 27, 31, 33, 35, 106, 107, 109, 113, 115, 121, 122, 129, 132, 133, 139, 141, 144, 145]"
9,BUMN,"[6, 7]"
10,Kemen,"[7, 9, 12, 13, 14]"
11,PANRB,"[8, 9]"
12,Kemenparekraf,"[10, 11]"
13,PUPR,"[12, 13]"
14,PPPA,[14]
15,PP,"[15, 302]"
16,&,"[15, 160]"
17,PA,[15]
18,Kemenpora,"[16, 17]"
19,Kemendikbudristek,[18]
20,Kemdikbud,[19]
21,Kemendag,"[20, 21]"
22,PPN/Bappenas,[22]
23,Bappenas,[23]
24,Kemenhub,"[24, 25]"
25,Kemenperin,"[26, 27]"
26,Kemhan,[28]
27,Departemen,[29]
28,Pertahanan,[29]
29,Kementan,"[30, 31]"
30,Kemensetneg,[32]
31,Setneg,[33]
32,Kemensos,"[34, 35]"
33,BPK,[36]
34,Badan,"[37, 50, 55, 56, 62, 65, 67, 68, 73, 74, 75, 77, 82, 85, 86, 87, 89, 90, 92, 135, 136]"
35,Pemeriksa,[37]
36,Keuangan,"[37, 124]"
37,DPD,[38]
38,Anggota,"[39, 40, 41]"
39,Dewan,"[39, 41, 94, 138]"
40,Perwakilan,"[39, 41, 79, 81, 111]"
41,Daerah,"[39, 99, 143, 159]"
42,DPR,[40]
43,Rakyat,"[41, 49, 208]"
44,KY,[42]
45,Komisi,"[43, 100, 102, 105, 106, 133, 141, 142, 143]"
46,Yudisial,[43]
47,(KY),[43]
48,Mahkamah,"[44, 46]"
49,Agung,[44]
50,MA,[45]
51,Konstitusi,[46]
52,MK,[47]
53,MPR,[48]
54,Majelis,[49]
55,Permusyawaratan,[49]
56,Informasi,[50]
57,Geospasial,[50]
58,BIG,[51]
59,Kanreg,[52]
60,VI,[52]
61,BKN,"[52, 53]"
62,Medan,[52]
63,Kantor,"[53, 172, 206, 227]"
64,Regional,"[53, 171]"
65,XIV,[53]
66,Manokwari,[53]
67,BIN,[54]
68,Intelijen,[55]
69,Negara,"[55, 89, 98, 108, 133, 179, 183, 323, 325]"
70,Keamanan,[56]
71,Laut,[56]
72,Bakamla,[57]
73,BKKBN,"[58, 59]"
74,Provinsi,"[59, 65, 66, 67, 79, 84, 85, 97, 99, 159]"
75,Sulawesi,"[59, 79, 84]"
76,Utara,"[59, 84, 156, 157, 170]"
77,Investasi/BKPM,[60]
78,Investasi,[61]
79,Meteorologi,[62]
80,Klimatologi,[62]
81,Dan,"[62, 124]"
82,Geofisika,[62]
83,BMKG,[63]
84,Papua,[63]
85,BNN,[64]
86,Kota,"[64, 69, 96, 98, 149, 151, 153, 155, 157]"
87,Bengkulu,"[64, 231]"
88,Narkotika,[65]
89,Nasional,"[65, 67, 68, 86, 87, 90, 92, 94, 100, 114, 116, 122, 123, 129, 135, 172, 174, 300]"
90,Jawa,"[65, 66, 67, 71, 97, 171, 172]"
91,Barat,"[65, 66, 67, 71, 79, 148, 149, 171, 172]"
92,BNPB,[66]
93,Penanggulangan,"[67, 68]"
94,Bencana,[67]
95,Terorisme,[68]
96,Kabupaten,"[68, 72, 104, 105, 161]"
97,Bekasi,[68]
98,BNPT,[69]
99,Bogor,"[69, 72]"
100,BP2MI,"[70, 71]"
101,BPOM,[72]
102,POM,[73]
103,Pengawas,"[74, 75, 77, 106]"
104,Pemilu,[74]
105,Inspektur,[75]
106,Utama,"[75, 339]"
107,Pemilihan,"[75, 105]"
108,Umum,"[75, 105, 162, 174, 177, 179, 183]"
109,Bapeten,[76]
110,Tenaga,"[77, 92]"
111,Nuklir,"[77, 92, 261]"
112,BPKP,"[78, 79]"
113,BPPT,"[80, 81]"
114,Pengusahaan,[82]
115,Batam,"[82, 83, 308, 309]"
116,(BP,[82]
117,Batam),[82]
118,BP,[83]
119,BPS,[84]
120,Pusat,"[85, 124, 142, 150, 151, 227]"
121,Statistik,[85]
122,Bali,[85]
123,SAR,[86]
124,(Basarnas),[86]
125,Pencarian,[87]
126,Pertolongan,[87]
127,(BNPP),[87]
128,BSSN,[88]
129,Siber,[89]
130,Sandi,[89]
131,Standardisasi,[90]
132,BSN,[91]
133,BATAN,[93]
134,Ketahanan,"[94, 114]"
135,Wantannas,[95]
136,Kejaksaan,"[96, 141]"
137,Negeri,[96]
138,Kediri,[96]
139,Kejaksaaan,[97]
140,Tinggi,[97]
141,Tengah,[97]
142,Kepolisian,"[98, 99]"
143,Republik,"[98, 120, 123, 126, 134, 135, 138, 179]"
144,Indonesia,"[98, 110, 111, 120, 123, 126, 134, 135, 138, 142, 143, 179, 194, 197, 202, 208, 212, 213, 216, 223, 235, 238, 239, 255, 259, 261, 281, 286, 293, 295, 296, 298, 300, 307, 329, 332, 333, 334, 335, 338, 339, 348, 349, 350, 352]"
145,Resor,[98]
146,Pontianak,[98]
147,DI,[99]
148,Yogyakarta,[99]
149,HAM,"[100, 101]"
150,Komnas,[101]
151,Pemberantasan,[102]
152,Korupsi,[102]
153,KPK,[103]
154,KPU,[104]
155,Memberamo,[104]
156,Raya,[104]
157,Fakfak,[105]
158,Persaingan,[106]
159,Usaha,[106]
160,KPPU,[107]
161,Lembaga,"[108, 110, 111, 112, 114, 116, 119, 145, 172]"
162,Administrasi,"[108, 151, 153, 155, 157]"
163,LAN,[109]
164,Ilmu,"[110, 111]"
165,Pengetahuan,"[110, 111]"
166,Kebijakan,[112]
167,Pengadaan,[112]
168,Barang/Jasa,[112]
169,Pemerintah,"[112, 147, 149, 151, 153, 155, 157, 159]"
170,LKPP,[113]
171,Lemhannas,[115]
172,Penerbangan,[116]
173,Antariksa,[116]
174,Lapan,[117]
175,LPP,[118]
176,TVRI,[118]
177,Penyiaran,"[119, 142, 143]"
178,Publik,[119]
179,Ombudsman,"[120, 121]"
180,Perpustakaan,"[122, 123]"
181,Pelaporan,[124]
182,Analisis,[124]
183,Transaksi,[124]
184,PPATK,[125]
185,Sekretariat,[126]
186,Kabinet,[126]
187,Setkab,[127]
188,ANRI,[128]
189,Arsip,[129]
190,TNI,"[130, 131]"
191,Angkatan,[130]
192,Udara,[130]
193,Inspektorat,[131]
194,Jenderal,[131]
195,KASN,[132]
196,Aparatur,[133]
197,Sipil,[133]
198,BNSP,[134]
199,Sertifikasi,[135]
200,Profesi,[135]
201,Pengatur,[136]
202,Hilir,[136]
203,Minyak,[136]
204,Gas,"[136, 323]"
205,Bumi,[136]
206,BPH,[137]
207,Migas,[137]
208,Pertimbangan,[138]
209,Presiden,[138]
210,Wantimpres,[139]
211,KKRI,[140]
212,LPSK,[144]
213,Perlindungan,[145]
214,Saksi,[145]
215,Korban,[145]
216,Pemkab,[146]
217,Kepulauan,"[146, 147]"
218,Seribu,"[146, 147]"
219,Kab.,[147]
220,Pemkot,"[148, 150, 152, 154, 156]"
221,Jakarta,"[148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 225]"
222,Adminsitrasi,[149]
223,Selatan,"[152, 153]"
224,Timur,"[154, 155]"
225,Pemprov,[158]
226,DKI,[158]
227,Khusus,[159]
228,Ibukota,[159]
229,Perum,"[160, 161, 163, 170, 171, 173, 175, 176, 178, 180, 182]"
230,Bulog,"[160, 161]"
