,Kata,Index
0,lembaga,"[0, 2, 104, 106, 107, 108, 111, 135, 142, 1112, 1220, 1409, 1672, 1694, 1701, 1799, 1922, 1923, 1924, 1925, 1926, 1927, 1940, 1948, 1962, 1969]"
1,pembiayaan,"[0, 3, 949, 951, 952, 1157, 1757, 1799]"
2,ekspor,"[0, 2, 3, 1799]"
3,lpei,[1]
4,indonesia,"[2, 3, 96, 106, 107, 112, 115, 118, 128, 132, 133, 138, 148, 740, 741, 745, 749, 763, 766, 768, 769, 770, 771, 789, 791, 792, 795, 796, 797, 798, 799, 804, 805, 806, 807, 809, 812, 814, 837, 838, 843, 844, 851, 853, 854, 855, 876, 877, 881, 882, 886, 892, 893, 896, 899, 900, 901, 904, 907, 908, 916, 941, 942, 947, 961, 963, 964, 965, 972, 973, 974, 980, 981, 1021, 1022, 1025, 1027, 1028, 1031, 1032, 1033, 1034, 1035, 1038, 1047, 1048, 1097, 1099, 1112, 1114, 1124, 1139, 1156, 1158, 1160, 1169, 1170, 1171, 1194, 1197, 1222, 1223, 1288, 1289, 1290, 1291, 1294, 1295, 1324, 1326, 1334, 1344, 1355, 1358, 1363, 1416, 1594, 1595, 1596, 1597, 1613, 1614, 1615, 1618, 1621, 1635, 1636, 1647, 1648, 1649, 1650, 1657, 1658, 1663, 1664, 1667, 1687, 1689, 1694, 1697, 1704, 1705, 1711, 1712, 1714, 1715, 1717, 1718, 1720, 1725, 1731, 1733, 1735, 1737, 1740, 1742, 1743, 1745, 1753, 1756, 1759, 1760, 1763, 1765, 1774, 1776, 1777, 1778, 1779, 1784, 1785, 1792, 1799, 1802, 1803, 1903, 1916, 1917, 1923, 1928, 1929, 1932, 1933, 1938, 1939, 1951, 1952, 1954, 1955, 1956, 1957, 1969, 2017]"
5,kemenag,[4]
6,kemendagri,"[5, 6]"
7,ri,"[6, 31, 33, 37, 41, 43, 45, 47, 102, 103, 105, 113, 114, 121, 124, 125, 129, 131, 134, 135, 1217, 1221, 1386, 1390, 1410]"
8,kementerian,"[7, 8, 10, 12, 19, 21, 23, 26, 1202, 1203, 1205, 1206, 1207, 1210, 1211, 1214, 1364, 1365, 1366, 1371, 1372, 1374, 1375, 1376, 1377, 1378, 1381, 1382, 1383, 1853, 1854, 1855, 1856, 1857, 1858, 1859, 1860, 1861, 1862, 1863, 1864, 1865, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882, 1883, 1884, 1885, 2470]"
9,lingkungan,"[7, 1859]"
10,hidup,"[7, 1859]"
11,kehutanan,"[8, 749, 751, 752, 1700, 1859]"
12,menlhk,[9]
13,kelautan,"[10, 1860]"
14,kkp,"[11, 12]"
15,kemenkeu,[13]
16,kemenko,"[14, 15, 16, 17, 18, 22, 24, 1209, 1212, 1213, 1215]"
17,bidang,"[14, 1215, 1865, 1866, 1867, 1868]"
18,pembangunan,"[14, 15, 16, 19, 759, 762, 968, 971, 1121, 1205, 1702, 1761, 1856, 1866, 1879, 1907]"
19,manusia,"[14, 15, 16, 19, 1378, 1858, 1866, 1918]"
20,dan,"[14, 15, 26, 68, 87, 108, 116, 126, 135, 865, 878, 880, 1120, 1209, 1214, 1215, 1226, 1321, 1374, 1376, 1406, 1625, 1652, 1653, 1668, 1669, 1670, 1729, 1734, 1762, 1786, 1805, 1854, 1856, 1857, 1858, 1859, 1860, 1864, 1865, 1866, 1868, 1869, 1872, 1873, 1874, 1875, 1876, 1877, 1897, 1899, 1904, 1907, 1908, 1909, 1912, 1926, 1930, 1936, 1940, 1964]"
21,kebudayaan,"[14, 15, 17, 1866, 1877]"
22,budaya,[18]
23,kemenkopmk,[20]
24,koordinator,"[21, 1210, 1211, 1214, 1865, 1866, 1867, 1868]"
25,perekonomian,"[21, 22, 23, 1867]"
26,polhukam,"[24, 25]"
27,koperasi,"[26, 1869]"
28,ukm,[26]
29,kemenkopukm,[27]
30,panrb,"[28, 29, 1872]"
31,kemen,"[29, 30, 31, 1388, 1391]"
32,pupr,"[30, 31, 1874]"
33,kemenpora,"[32, 33]"
34,kemendikbudristek,[34]
35,kemdikbud,[35]
36,kemendag,"[36, 37]"
37,kementrian,"[38, 1387, 1392, 1399, 1400]"
38,ppn,"[38, 1879]"
39,bappenas,"[38, 39, 1879]"
40,kemenhub,"[40, 41]"
41,kemenperin,"[42, 43]"
42,kementan,"[44, 45]"
43,kemensos,"[46, 47]"
44,dpd,"[48, 1887]"
45,anggota,"[49, 50, 51]"
46,dewan,"[49, 51, 92, 128, 137, 151, 1887, 1888, 1915, 1937, 1958, 1970]"
47,perwakilan,"[49, 51, 107, 137, 1219, 1402, 1887, 1888, 1958]"
48,daerah,"[49, 97, 133, 137, 223, 976, 977, 979, 1205, 1764, 1856, 1887, 1958]"
49,dpr,"[50, 1888]"
50,rakyat,"[51, 57, 137, 1290, 1291, 1294, 1295, 1355, 1718, 1874, 1888, 1892, 1958]"
51,mahkamah,"[52, 54, 1890, 1891]"
52,agung,"[52, 1890]"
53,ma,"[53, 1890]"
54,konstitusi,"[54, 1891]"
55,mk,"[55, 1891]"
56,mpr,"[56, 1892]"
57,majelis,"[57, 1892]"
58,permusyawaratan,"[57, 1892]"
59,badan,"[58, 63, 64, 68, 71, 73, 74, 79, 80, 81, 83, 85, 86, 87, 88, 90, 126, 140, 146, 153, 1223, 1366, 1367, 1396, 1403, 1406, 1411, 1413, 1854, 1871, 1879, 1886, 1893, 1894, 1895, 1896, 1897, 1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1935, 1936, 1959, 1960, 1961, 1965, 1966, 1967]"
60,informasi,"[58, 1893]"
61,geospasial,"[58, 1893]"
62,big,"[59, 1893]"
63,kanreg,[60]
64,vi,[60]
65,bkn,"[60, 61, 1894]"
66,medan,"[60, 710, 1199, 1809, 2463]"
67,kantor,"[61, 139, 755, 756, 758, 817, 825, 826, 868, 955, 956, 1029, 1030, 1136, 1141, 1303, 1320, 1672, 1701, 1948]"
68,regional,"[61, 1120]"
69,xiv,[61]
70,manokwari,"[61, 490, 491, 2292, 2293]"
71,bin,"[62, 1895]"
72,intelijen,"[63, 1895]"
73,negara,"[63, 96, 104, 125, 751, 752, 763, 765, 766, 773, 775, 812, 830, 831, 1004, 1005, 1006, 1007, 1011, 1012, 1124, 1127, 1406, 1700, 1704, 1706, 1717, 1719, 1771, 1772, 1871, 1872, 1884, 1894, 1895, 1912, 1917, 1922, 1934, 1950]"
74,keamanan,"[64, 1868, 1896]"
75,laut,"[64, 529, 611, 948, 1896, 2117, 2352]"
76,bakamla,"[65, 1896]"
77,bkkbn,"[66, 67, 1320, 1322, 1897]"
78,provinsi,"[67, 71, 72, 73, 84, 85, 95, 97, 223, 583, 586, 588, 593, 597, 598, 602, 604, 732, 733, 735, 737, 1219, 1285, 1538, 1541, 1542, 1545, 1581, 1583, 1585, 1819, 1835, 1846, 1852, 1947, 1976, 1988, 2016, 2053, 2092, 2107, 2121, 2136, 2147, 2153, 2154, 2162, 2178, 2190, 2201, 2225, 2236, 2259, 2289, 2303, 2316, 2323, 2348, 2363, 2381, 2397, 2417, 2435, 2469]"
79,sulawesi,"[67, 84, 731, 734, 1219, 1286, 1580, 1582, 2323, 2348, 2363, 2381, 2397]"
