instansi,reference,status
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Kemenko Polhukam,yes
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Polhukam,yes
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Politik,no
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Hukum,no
Kementerian Koperasi dan Usaha Kecil dan Menengah,Kementrian Koperasi dan UKM,yes
Kementerian Koperasi dan Usaha Kecil dan Menengah,KemenkopUKM,yes
Kementerian Koperasi dan Usaha Kecil dan Menengah,UKM,no
Kementerian Koperasi dan Usaha Kecil dan Menengah,Usaha Kecil dan Menengah,no
Kementerian Luar Negeri,Kemlu,yes
Kementerian Luar Negeri,Kemlu RI,yes
Kementerian Luar Negeri,Luar Negeri,no
Kementerian Luar Negeri,Kementrian Dalam Negeri,no
Kementerian Badan Usaha Milik Negara,Kementrian BUMN,yes
Kementerian Badan Usaha Milik Negara,Kemen BUMN,yes
Kementerian Badan Usaha Milik Negara,BUMN,no
Kementerian Badan Usaha Milik Negara,Badan Usaha Milik Negara,no
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),PANRB,yes
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Kemen PANRB,yes
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Negara,no
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Sipil Negara,no
Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf,yes
Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf RI,yes
Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Pariwisata dan Kebudayaan Kota Bogor,no
Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Kebudayaan dan Pariwisata Kota Bandung,no
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR,yes
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR RI,yes
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Pekerjaan Umum dan Perumahan Rakyat Pemerintah Kota Pontiakan,no
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Perumahan Rakyat Dan Kawasan Permukiman Provinsi Jawa Tengah,no
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kemen PPPA,yes
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kementrian PP & PA,yes
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Pemberdayaan Perempuan,no
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Komisi Perlindungan Anak Indonesia,no
Kementerian Pemuda dan Olahraga,Kemenpora,yes
Kementerian Pemuda dan Olahraga,Kemenpora RI,yes
Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Kalimantan Selatan,no
Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Pemerintah Kota Padang,no
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemendikbudristek,yes
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemdikbud,yes
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Jasa Pendidikan,no
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Badan Riset dan Inovasi Nasional,no
Kementerian Perdagangan,Kemendag,yes
Kementerian Perdagangan,Kemendag RI,yes
Kementerian Perdagangan,Perdangangan,no
Kementerian Perdagangan,Dinas Perindustrian dan Perdagangan Provinsi Sumatera Barat,no
Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Kementrian PPN/Bappenas,yes
Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Bappenas,yes
Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),"PT Bank Pembangunan Daerah Jawa Barat dan Banten, Tbk.",no
Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Politeknik Pembangunan Pertanian Malang,no
