no,instansi,reference,status
1,"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Kemenko Polhukam,yes
2,"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Polhukam,yes
3,"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Politik,no
4,"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Hukum,no
1,Kementerian Koperasi dan Usaha Kecil dan Menengah,Kementerian Koperasi dan UKM,yes
2,Kementerian Koperasi dan Usaha Kecil dan Menengah,KemenkopUKM,yes
3,Kementerian Koperasi dan Usaha Kecil dan Menengah,UKM,no
4,Kementerian Koperasi dan Usaha Kecil dan Menengah,Usaha Kecil dan Menengah,no
1,Kementerian Luar Negeri,Kemlu,yes
2,Kementerian Luar Negeri,Kemlu RI,yes
3,Kementerian Luar Negeri,Luar Negeri,no
4,Kementerian Luar Negeri,Kementerian Dalam Negeri,no
1,Kementerian Badan Usaha Milik Negara,Kementerian BUMN,yes
2,Kementerian Badan Usaha Milik Negara,Kemen BUMN,yes
3,Kementerian Badan Usaha Milik Negara,BUMN,no
4,Kementerian Badan Usaha Milik Negara,Badan Usaha Milik Negara,no
1,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),PANRB,yes
2,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Kemen PANRB,yes
3,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Negara,no
4,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),Aparatur Sipil Negara,no
1,Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf,yes
2,Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf RI,yes
3,Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Pariwisata dan Kebudayaan Kota Bogor,no
4,Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Kebudayaan dan Pariwisata Kota Bandung,no
1,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR,yes
2,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR RI,yes
3,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Pekerjaan Umum dan Perumahan Rakyat Pemerintah Kota Pontiakan,no
4,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Perumahan Rakyat Dan Kawasan Permukiman Provinsi Jawa Tengah,no
1,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kemen PPPA,yes
2,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Kementerian PP & PA,yes
3,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Pemberdayaan Perempuan,no
4,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,Komisi Perlindungan Anak Indonesia,no
1,Kementerian Pemuda dan Olahraga,Kemenpora,yes
2,Kementerian Pemuda dan Olahraga,Kemenpora RI,yes
3,Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Kalimantan Selatan,no
4,Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Pemerintah Kota Padang,no
1,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemendikbudristek,yes
2,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemdikbud,yes
3,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Jasa Pendidikan,no
4,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Badan Riset dan Inovasi Nasional,no
1,Kementerian Perdagangan,Kemendag,yes
2,Kementerian Perdagangan,Kemendag RI,yes
3,Kementerian Perdagangan,Perdangangan,no
4,Kementerian Perdagangan,Dinas Perindustrian dan Perdagangan Provinsi Sumatera Barat,no
1,Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Kementerian PPN/Bappenas,yes
2,Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Bappenas,yes
3,Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),"PT Bank Pembangunan Daerah Jawa Barat dan Banten, Tbk.",no
4,Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas),Politeknik Pembangunan Pertanian Malang,no
1,Kementerian Perhubungan,Kemenhub,yes
2,Kementerian Perhubungan,Kemenhub RI,yes
3,Kementerian Perhubungan,Perhubungan,no
4,Kementerian Perhubungan,Dinas Perhubungan Kota Semarang,no
1,Kementerian Perindustrian,Kemenperin,yes
2,Kementerian Perindustrian,Kemenperin RI,yes
3,Kementerian Perindustrian,Industri,no
4,Kementerian Perindustrian,PT Perindustrian Bapak Djenggot,no
1,Kementerian Pertahanan,Kemhan,yes
2,Kementerian Pertahanan,Departemen Pertahanan,yes
3,Kementerian Pertahanan,Badan Pertahanan Nasional,no
4,Kementerian Pertahanan,Universitas Pertahanan,no
1,Kementerian Pertanian,Kementan,yes
2,Kementerian Pertanian,Kementan RI,yes
3,Kementerian Pertanian,Pertanian,no
4,Kementerian Pertanian,Institut Pertanian Bogor,no
1,Kementerian Sekretariat Negara,Kemensetneg,yes
2,Kementerian Sekretariat Negara,Setneg RI,yes
3,Kementerian Sekretariat Negara,Sekretariat Daerah,no
4,Kementerian Sekretariat Negara,Divisi Sekretarian Perusahaan,no
1,Kementerian Sosial,Kemensos,yes
2,Kementerian Sosial,Kemensos RI,yes
3,Kementerian Sosial,Badan Penyelenggara Jaminan Sosial Ketenagakerjaan,no
4,Kementerian Sosial,Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),no
1,Badan Pemeriksa Keuangan (BPK),BPK,yes
2,Badan Pemeriksa Keuangan (BPK),Badan Pemeriksa Keuangan,yes
3,Badan Pemeriksa Keuangan (BPK),BPKP,no
4,Badan Pemeriksa Keuangan (BPK),Kementerian Keuangan,no
1,Dewan Perwakilan Daerah (DPD),DPD,yes
2,Dewan Perwakilan Daerah (DPD),Anggota Dewan Perwakilan Daerah,yes
3,Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat,no
4,Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat Daerah,no
1,Dewan Perwakilan Rakyat (DPR),Anggota DPR,yes
2,Dewan Perwakilan Rakyat (DPR),Anggota Dewan Perwakilan Rakyat,yes
3,Dewan Perwakilan Rakyat (DPR),SKK Migas Perwakilan Jawa Timur,no
4,Dewan Perwakilan Rakyat (DPR),Dewan Perwakilan Daerah (DPD),no
1,Komisi Yudisial,KY,yes
2,Komisi Yudisial,Komisi Yudisial (KY),yes
3,Komisi Yudisial,Anggota DPR RI Komisi IX,no
4,Komisi Yudisial,Komisi Penyiaran Indonesia,no
1,Mahkamah Agung (MA),Mahkamah Agung,yes
2,Mahkamah Agung (MA),MA,yes
3,Mahkamah Agung (MA),Universitas Sultan Agung Tirtayasa,no
4,Mahkamah Agung (MA),Mahkamah Konstitusi,no
1,Mahkamah Konstitusi (MK),Mahkamah Konstitusi,yes
2,Mahkamah Konstitusi (MK),MK,yes
3,Mahkamah Konstitusi (MK),Mahkamah Agung,no
4,Mahkamah Konstitusi (MK),Mahkamah Internasional,no
