,reference
0,Kemenko Polhukam
1,Polhukam
2,Kementerian Koperasi dan UKM
3,KemenkopUKM
4,Kemlu
5,Kemlu RI
6,Kementerian BUMN
7,Kemen BUMN
8,PANRB
9,Kemen PANRB
10,Kemenparekraf
11,Kemenparekraf RI
12,Kemen PUPR
13,Kemen PUPR RI
14,Kemen PPPA
15,Kementerian PP & PA
16,Kemenpora
17,Kemenpora RI
18,Kemendikbudristek
19,Kemdikbud
20,Kemendag
21,Kemendag RI
22,Kementerian PPN/Bappenas
23,Bappenas
24,Kemenhub
25,Kemenhub RI
26,Kemenperin
27,Kemenperin RI
28,Kemhan
29,Departemen Pertahanan
30,Kementan
31,Kementan RI
32,Kemensetneg
33,Setneg RI
34,Kemensos
35,Kemensos RI
36,BPK
37,Badan Pemeriksa Keuangan
38,DPD
39,Anggota Dewan Perwakilan Daerah
40,Anggota DPR
41,Anggota Dewan Perwakilan Rakyat
42,KY
43,Komisi Yudisial (KY)
44,Mahkamah Agung
45,MA
46,Mahkamah Konstitusi
47,MK
48,MPR
49,Majelis Permusyawaratan Rakyat
50,Badan Informasi Geospasial
51,BIG
52,Kanreg VI BKN Medan
53,Kantor Regional XIV BKN Manokwari
54,BIN
55,Badan Intelijen Negara
56,Badan Keamanan Laut
57,Bakamla
58,BKKBN
59,BKKBN Provinsi Sulawesi Utara
60,Kementerian Investasi/BKPM
61,Kementerian Investasi
62,Badan Meteorologi Klimatologi Dan Geofisika
63,BMKG Papua
64,BNN Kota Bengkulu
65,Badan Narkotika Nasional Provinsi Jawa Barat
66,BNPB Provinsi Jawa Barat
67,Badan Nasional Penanggulangan Bencana Provinsi Jawa Barat
68,Badan Nasional Penanggulangan Terorisme Kabupaten Bekasi 
69,BNPT Kota Bogor
70,BP2MI
71,BP2MI Jawa Barat
72,BPOM Kabupaten Bogor
73,Badan POM
74,Badan Pengawas Pemilu
75,Inspektur Utama Badan Pengawas Pemilihan Umum
76,Bapeten
77,Badan Pengawas Tenaga Nuklir
78,BPKP
79,Perwakilan BPKP Provinsi Sulawesi Barat
80,BPPT
81,Perwakilan BPPT
82,Badan Pengusahaan Batam (BP Batam)
83,BP Batam
84,BPS Provinsi Sulawesi Utara
85,Badan Pusat Statistik Provinsi Bali
86,Badan SAR Nasional (Basarnas)
87,Badan Nasional Pencarian dan Pertolongan (BNPP)
88,BSSN
89,Badan Siber dan Sandi Negara
90,Badan Standardisasi Nasional
91,BSN
92,Badan Tenaga Nuklir Nasional
93,BATAN
94,Dewan Ketahanan Nasional
95,Wantannas
96,Kejaksaan Negeri Kota Kediri
97,Kejaksaaan Tinggi Provinsi Jawa Tengah
98,Kepolisian Negara Republik Indonesia Resor Kota Pontianak
99,Kepolisian Daerah Provinsi DI Yogyakarta
100,Komisi Nasional HAM
101,Komnas HAM
102,Komisi Pemberantasan Korupsi
103,KPK
104,KPU Kabupaten Memberamo Raya
105,Komisi Pemilihan Umum Kabupaten Fakfak
106,Komisi Pengawas Persaingan Usaha RI
107,KPPU RI
108,Lembaga Administrasi Negara
109,LAN RI
110,Lembaga Ilmu Pengetahuan Indonesia
111,Perwakilan Lembaga Ilmu Pengetahuan Indonesia
112,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
113,LKPP RI
114,Lembaga Ketahanan Nasional
115,Lemhannas RI
116,Lembaga Penerbangan dan Antariksa Nasional
117,Lapan
118,LPP TVRI
119,Lembaga Penyiaran Publik
120,Ombudsman Republik Indonesia
121,Ombudsman RI
122,Perpustakaan Nasional RI
123,Perpustakaan Nasional Republik Indonesia
124,Pusat Pelaporan Dan Analisis Transaksi Keuangan
125,PPATK
126,Sekretariat Kabinet Republik Indonesia
127,Setkab
128,ANRI
129,Arsip Nasional RI
130,TNI Angkatan Udara
131,Inspektorat Jenderal TNI
132,KASN RI
133,Komisi Aparatur Sipil Negara RI
134,BNSP Republik Indonesia
135,Badan Nasional Sertifikasi Profesi Republik Indonesia
136,Badan Pengatur Hilir Minyak dan Gas Bumi
137,BPH Migas
138,Dewan Pertimbangan Presiden Republik Indonesia
139,Wantimpres RI
140,KKRI
141,Komisi Kejaksaan RI
142,Komisi Penyiaran Indonesia Pusat
143,Komisi Penyiaran Indonesia Daerah
144,LPSK RI
145,Lembaga Perlindungan Saksi dan Korban RI
146,Pemkab Kepulauan Seribu
147,Pemerintah Kab. Kepulauan Seribu
148,Pemkot Jakarta Barat
149,Pemerintah Kota Adminsitrasi Jakarta Barat
150,Pemkot Jakarta Pusat
151,Pemerintah Kota Administrasi Jakarta Pusat
152,Pemkot Jakarta Selatan
153,Pemerintah Kota Administrasi Jakarta Selatan
154,Pemkot Jakarta Timur
155,Pemerintah Kota Administrasi Jakarta Timur
156,Pemkot Jakarta Utara
157,Pemerintah Kota Administrasi Jakarta Utara
158,Pemprov DKI Jakarta
159,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta
160,Perum Bulog Kanwil Kaltim & Kaltara
161,Perum Bulog Kabupaten Probolinggo
162,Perusahaan Umum DAMRI
163,Perum DAMRI UABK Bandung
164,PT Jamkrindo
165,PT Jamkrindo Cabang Bandung
166,Jasa Tirta
167,Jasa Tirta I
168,Jasa Tirta II
169,Jasa Tirta 2
170,Perum Perhutani KPH Bandung Utara
171,Perum Perhutani Divisi Regional Jawa Barat dan Banten
172,Lembaga Kantor Berita Nasional Antara Biro Jawa Barat
173,Perum LKBN Antara
174,Perusahaan Umum Pembangunan Perumahan Nasional
175,Perum Perumnas
176,Perum PPD
177,Perusahaan Umum Pengangkutan Penumpang Djakarta
178,Perum PNRI
179,Perusahaan Umum Percetakan Negara Republik Indonesia
180,Perum Peruri
181,Peruri
182,Perum PFN
183,Perusahaan Umum Produksi Film Negara
184,PT Adhi Karya
185,Adhi Karya
186,PT AMKA
187,Amarta Karya
188,Angkasa Pura
189,AP1
190,Angkasa Pura 2
191,AP2
192,PT Asabri (Persero)
193,Perseta Asabri Pensiunan Polri
194,PT ASDP Ferry Indonesia
195,ASDP
196,Asuransi Jasindo
197,Asuransi Jasa Indonesia
198,Asuransi Jiwasraya
199,Jiwasraya
200,Askrindo
201,PT Askrindo
202,Indonesia Financial Group (IFG)
203,BPUI
204,Bank Mandiri
205,Bank Mandiri Cihampelas
206,Bank BNI Kantor Cabang Karawang
207,BNI 46
208,Bank Rakyat Indonesia Cabang Sintang
209,Bank BRI Unit Prambanan
210,Bank BTN Jayapura
211,BTN Pluit
212,Barata Indonesia
213,PT Barata Indonesia
214,Berdikari
215,PT Berdikari
216,PT BGR Logistik Indonesia
217,BGR
218,Bina Karya
219,Bina Karya Persero
220,PT Bio Farma Bandung
221,Bio Farma
222,BKI
223,PT Biro Klasifikasi Indonesia (Persero) Cabang Cirebon
224,BBI
225,PT Boma Bisma Indra (Persero) Cabang Jakarta
226,Brantas Abipraya
227,Kantor Pusat PT Brantas Abipraya (Persero)
228,Dahana
229,PT Dahana Subang
230,PT Taspen (Persero)
231,PT Taspen KC Bengkulu
232,Danareksa
233,PT Danareksa
234,PTDI
235,PT Dirgantara Indonesia
236,Djakarta Lloyd
237,PT Djakarta Lloyd
238,Garuda Indonesia
239,PT Garuda Indonesia
240,PT DKB
241,Dok dan Perkapalan Kodja Bahari
242,Emipersero
243,PT EMI
244,Garam
245,PT Garam (Persero)
246,Geo Dipa Energi
247,PT Geo Dipa Energi (Persero)
248,PT HIN
249,Inna Hotels and Resorts
250,Hutama Karya
251,HK
252,Indah Karya
253,PT Indah Karya
254,PT Inalum
255,PT Indonesia Asahan Aluminium (Persero)
256,Indra Karya
257,PT Indra Karya
258,PT IKI (Persero)
259,Industri Kapal Indonesia
260,PT INUKI (Persero)
261,Industri Nuklir Indonesia
262,PT ISN (Persero)
263,Industri Sandang Nusantara
264,PT INTI (Persero)
265,INTI
266,Istaka Karya
267,PT Istaka Karya
268,Jiep Ecogreen
269,PT JIEP
270,Jasa Marga
271,PT Jasa Marga Cabang Purbaleunyi
272,Jasa Raharja
273,Jasa Raharja Bandung
274,PT KBN
275,Kawasan Berikat Nusantara
276,PT KIW
277,Kawasan Industri Wijayakusuma
278,Kimia Farma
279,PT Kimia Farma Tbk
280,PT KBI
281,Kliring Berjangka Indonesia
282,Krakatau Steel
283,PT Krakatau Steel
284,Len Industri
285,Len
286,PAL Indonesia
287,PT PAL
288,PT PANN
289,PANN Pembiayaan Maritim
290,Pegadaian
291,PT Pegadaian Area Samarinda
292,Pelindo I
293,Pelabuhan Indonesia
294,Pelindo II
295,Pelabuhan Indonesia II
296,Pelabuhan Indonesia III
297,Pelindo III
298,Pelabuhan Indonesia IV
299,Pelindo IV
300,Pelayaran Nasional Indonesia
301,PT PELNI
302,PT PP
303,Pembangunan Perumahan
304,PT Balai Pustaka
305,Balai Pustaka
306,ITDC
307,Pengembangan Pariwisata Indonesia
308,PT PDI Batam
309,PT Persero Batam
310,PT PII
311,PT PII Persero
312,PT Perinus
313,PT Perinus (Persero)
314,PT. Perkebunan Nusantara III (Persero)
315,PTPN III
316,PT PNM
317,PT PNM (Persero)
318,Pertamina
319,PT Pertamina
320,Pertani
321,PT Pertani
322,PGN
323,Perusahaan Gas Negara
324,PLN
325,Perusahaan Listrik Negara
326,PT PPA
327,Perusahaan Pengelola Aset
328,PT PPI
329,Perusahaan Perdagangan Indonesia
330,Pindad
331,PT Pindad
332,Pos Indonesia
333,PT Pos Indonesia KC Cirebon
334,Pupuk Indonesia
335,PT Pupuk Indonesia (Persero)
336,PT Rajawali Nusindo
337,ID FOOD
338,Indonesia Re
339,Reasuransi Indonesia Utama
340,SHS
341,PT Sang Hyang Seri Cabang Sidrap
342,PT SMI
343,Sarana Multi Infrastruktur
344,Sarinah
345,PT Sarinah
346,PT Semen Baturaja
347,Semen Baturaja
348,PT Semen Indonesia
349,Semen Indonesia
350,PT Superintending Company of Indonesia
351,Sucofindo
352,Surveyor Indonesia
353,PTSI
354,PT TWC
355,PT Taman Wisata Candi
356,PT VTP
357,Varuna Tirta Prakasya
