instansi,reference,status
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Kemenko Polhukam,yes
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Polhukam,yes
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Politik,no
"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan",Koordinator Hukum,no
Kementerian Luar Negeri,Kemlu,yes
Kementerian Luar Negeri,Kemlu RI,yes
Kementerian Luar Negeri,Luar Negeri,no
Kementerian Luar Negeri,Kementerian Dalam Negeri,no
Kementerian Badan Usaha Milik Negara,Kementerian BUMN,yes
Kementerian Badan Usaha Milik Negara,Kemen BUMN,yes
Kementerian Badan Usaha Milik Negara,BUMN,no
Kementerian Badan Usaha Milik Negara,Badan Usaha Milik Negara,no
Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf,yes
Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf RI,yes
Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Pariwisata dan Kebudayaan Kota Bogor,no
Kementerian Pariwisata dan Ekonomi Kreatif,Dinas Kebudayaan dan Pariwisata Kota Bandung,no
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR,yes
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Kemen PUPR RI,yes
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Pekerjaan Umum dan Perumahan Rakyat Pemerintah Kota Pontiakan,no
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Dinas Perumahan Rakyat Dan Kawasan Permukiman Provinsi Jawa Tengah,no
Kementerian Pemuda dan Olahraga,Kemenpora,yes
Kementerian Pemuda dan Olahraga,Kemenpora RI,yes
Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Kalimantan Selatan,no
Kementerian Pemuda dan Olahraga,Dinas Pemuda dan Olahraga Pemerintah Kota Padang,no
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemendikbudristek,yes
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kemdikbud,yes
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Jasa Pendidikan,no
"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Badan Riset dan Inovasi Nasional,no
Kementerian Perdagangan,Kemendag,yes
Kementerian Perdagangan,Kemendag RI,yes
Kementerian Perdagangan,Perdangangan,no
Kementerian Perdagangan,Dinas Perindustrian dan Perdagangan Provinsi Sumatera Barat,no
Kementerian Perhubungan,Kemenhub,yes
Kementerian Perhubungan,Kemenhub RI,yes
Kementerian Perhubungan,Perhubungan,no
Kementerian Perhubungan,Dinas Perhubungan Kota Semarang,no
Kementerian Perindustrian,Kemenperin,yes
Kementerian Perindustrian,Kemenperin RI,yes
Kementerian Perindustrian,Industri,no
Kementerian Perindustrian,PT Perindustrian Bapak Djenggot,no
Kementerian Pertahanan,Kemhan,yes
Kementerian Pertahanan,Departemen Pertahanan,yes
Kementerian Pertahanan,Badan Pertahanan Nasional,no
Kementerian Pertahanan,Universitas Pertahanan,no
Kementerian Pertanian,Kementan,yes
Kementerian Pertanian,Kementan RI,yes
Kementerian Pertanian,Pertanian,no
Kementerian Pertanian,Institut Pertanian Bogor,no
Kementerian Sekretariat Negara,Kemensetneg,yes
Kementerian Sekretariat Negara,Setneg RI,yes
Kementerian Sekretariat Negara,Sekretariat Daerah,no
Kementerian Sekretariat Negara,Divisi Sekretarian Perusahaan,no
Badan Pemeriksa Keuangan (BPK),BPK,yes
Badan Pemeriksa Keuangan (BPK),Badan Pemeriksa Keuangan,yes
Badan Pemeriksa Keuangan (BPK),BPKP,no
Badan Pemeriksa Keuangan (BPK),Kementerian Keuangan,no
Dewan Perwakilan Daerah (DPD),DPD,yes
Dewan Perwakilan Daerah (DPD),Anggota Dewan Perwakilan Daerah,yes
Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat,no
Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat Daerah,no
Dewan Perwakilan Rakyat (DPR),Anggota DPR,yes
Dewan Perwakilan Rakyat (DPR),Anggota Dewan Perwakilan Rakyat,yes
