instansi,status,reference
lembaga pembiayaan ekspor indonesia,yes,lembaga pembiayaan ekspor
lembaga pembiayaan ekspor indonesia,yes,lpei
lembaga pembiayaan ekspor indonesia,yes,lembaga ekspor indonesia
lembaga pembiayaan ekspor indonesia,yes,pembiayaan ekspor indonesia
lembaga pembiayaan ekspor indonesia,no,pembiayaan indonesia
lembaga pembiayaan ekspor indonesia,no,pembiayaan ekspor
lembaga pembiayaan ekspor indonesia,no,lembaga ekspor
lembaga pembiayaan ekspor indonesia,no,ekspor
kementerian agama,no,kementerian
kementerian agama,no,agama
kementerian agama,yes,kemenag
kementerian dalam negeri,yes,kemendagri
kementerian dalam negeri,yes,kemendagri ri
kementerian dalam negeri,no,dalam negeri
kementerian dalam negeri,no,kementerian dalam
kementerian dalam negeri,no,kementerian negeri
kementerian lingkungan hidup dan kehutanan,yes,kementerian lingkungan hidup
kementerian lingkungan hidup dan kehutanan,yes,kementerian kehutanan
kementerian lingkungan hidup dan kehutanan,no,lingkungan hidup dan kehutanan
kementerian lingkungan hidup dan kehutanan,no,lingkungan hidup
kementerian lingkungan hidup dan kehutanan,no,kehutanan
kementerian lingkungan hidup dan kehutanan,yes,menlhk
kementerian kelautan dan perikanan,yes,kementerian kelautan
kementerian kelautan dan perikanan,no,kementerian perikanan
kementerian kelautan dan perikanan,no,kelautan dan perikanan
kementerian kelautan dan perikanan,yes,kkp
kementerian kelautan dan perikanan,yes,kementerian kkp
kementerian keuangan,yes,kemenkeu
kementerian keuangan,no,keuangan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenko bidang pembangunan manusia dan kebudayaan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenko pembangunan manusia dan kebudayaan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenko pembangunan manusia
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenko kebudayaan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenko budaya
kementerian koordinator bidang pembangunan manusia dan kebudayaan,no,pembangunan manusia
kementerian koordinator bidang pembangunan manusia dan kebudayaan,no,kebudayaan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,no,kementerian kebudayaan
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kementerian pembangunan manusia
kementerian koordinator bidang pembangunan manusia dan kebudayaan,yes,kemenkopmk
kementerian koordinator bidang perekonomian,yes,kementerian koordinator perekonomian
kementerian koordinator bidang perekonomian,yes,kemenko perekonomian
kementerian koordinator bidang perekonomian,no,kementerian ekonomi
kementerian koordinator bidang perekonomian,yes,kementerian perekonomian
kementerian koordinator bidang perekonomian,no,ekon
"kementerian koordinator bidang politik, hukum, dan keamanan",yes,kemenko polhukam
"kementerian koordinator bidang politik, hukum, dan keamanan",yes,polhukam
"kementerian koordinator bidang politik, hukum, dan keamanan",no,koordinator politik
"kementerian koordinator bidang politik, hukum, dan keamanan",no,koordinator hukum
kementerian koperasi dan usaha kecil dan menengah,yes,kementerian koperasi dan ukm
kementerian koperasi dan usaha kecil dan menengah,yes,kemenkopukm
kementerian koperasi dan usaha kecil dan menengah,no,ukm
kementerian koperasi dan usaha kecil dan menengah,no,usaha kecil dan menengah
kementerian pendayagunaan aparatur negara dan reformasi birokrasi (kem panrb),yes,panrb
kementerian pendayagunaan aparatur negara dan reformasi birokrasi (kem panrb),yes,kemen panrb
kementerian pendayagunaan aparatur negara dan reformasi birokrasi (kem panrb),no,aparatur negara
