,reference
0,Kemenko Polhukam
1,Polhukam
2,Kemlu
3,Kemlu RI
4,Kementerian BUMN
5,Kemen BUMN
6,Kemenparekraf
7,Kemenparekraf RI
8,Kemen PUPR
9,Kemen PUPR RI
10,Kemenpora
11,Kemenpora RI
12,Kemendikbudristek
13,Kemdikbud
14,Kemendag
15,Kemendag RI
16,Kemenhub
17,Kemenhub RI
18,Kemenperin
19,Kemenperin RI
20,Kemhan
21,Departemen Pertahanan
22,Kementan
23,Kementan RI
24,Kemensetneg
25,Setneg RI
26,BPK
27,Badan Pemeriksa Keuangan
28,DPD
29,Anggota Dewan Perwakilan Daerah
30,Anggota DPR
31,Anggota Dewan Perwakilan Rakyat
32,KY
33,Komisi Yudisial (KY)
34,Mahkamah Agung
35,MA
36,Mahkamah Konstitusi
37,MK
38,MPR
39,Majelis Permusyawaratan Rakyat
40,Badan Informasi Geospasial
41,BIG
42,Kanreg VI BKN Medan
43,Kantor Regional XIV BKN Manokwari
44,BIN
45,Badan Intelijen Negara
46,Badan Keamanan Laut
47,Bakamla
48,BKKBN
49,BKKBN Provinsi Sulawesi Utara
50,Kementerian Investasi/BKPM
51,Kementerian Investasi
52,Badan Meteorologi Klimatologi Dan Geofisika
53,BMKG Papua
54,BNN Kota Bengkulu
55,Badan Narkotika Nasional Provinsi Jawa Barat
56,BNPB Provinsi Jawa Barat
57,Badan Nasional Penanggulangan Bencana Provinsi Jawa Barat
58,BP2MI
59,BP2MI Jawa Barat
60,BPOM Kabupaten Bogor
61,Badan POM
62,BPKP
63,Perwakilan BPKP Provinsi Sulawesi Barat
64,BPPT
65,Perwakilan BPPT
66,BSSN
67,Badan Siber dan Sandi Negara
68,Badan Standardisasi Nasional
69,BSN
70,Badan Tenaga Nuklir Nasional
71,BATAN
72,Dewan Ketahanan Nasional
73,Wantannas
74,Kejaksaan Negeri Kota Kediri
75,Kejaksaaan Tinggi Provinsi Jawa Tengah
76,Kepolisian Negara Republik Indonesia Resor Kota Pontianak
77,Kepolisian Daerah Provinsi DI Yogyakarta
78,KPU Kabupaten Memberamo Raya
79,Komisi Pemilihan Umum Kabupaten Fakfak
80,Komisi Pengawas Persaingan Usaha RI
81,KPPU RI
82,Lembaga Ilmu Pengetahuan Indonesia
83,Perwakilan Lembaga Ilmu Pengetahuan Indonesia
84,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
85,LKPP RI
86,Lembaga Ketahanan Nasional
87,Lemhannas RI
88,Lembaga Penerbangan dan Antariksa Nasional
89,Lapan
90,Ombudsman Republik Indonesia
91,Ombudsman RI
92,Pusat Pelaporan Dan Analisis Transaksi Keuangan
93,PPATK
94,Sekretariat Kabinet Republik Indonesia
95,Setkab
96,ANRI
97,Arsip Nasional RI
98,TNI Angkatan Udara
99,Inspektorat Jenderal TNI
100,KASN RI
101,Komisi Aparatur Sipil Negara RI
102,BNSP Republik Indonesia
103,Badan Nasional Sertifikasi Profesi Republik Indonesia
104,Badan Pengatur Hilir Minyak dan Gas Bumi
105,BPH Migas
106,Dewan Pertimbangan Presiden Republik Indonesia
107,Wantimpres RI
108,Lembaga Pembiayaan Ekspor
109,LPEI
110,Indonesia Eximbank
111,Kantor Staf Presiden
112,Badan Penyelenggara Jaminan Sosial Kesehatan
113,BPJS Kesehatan
114,Badan Penyelenggara Jaminan Sosial Ketenagakerjaan
115,BPJAMSOSTEK
116,BPJS Ketenagakerjaan
117,Bank Indonesia (BI)
118,BI
119,BNPP
120,Badan Pembinaan Ideologi
121,BPIP
122,Radio Republik Indonesia
123,RRI
124,DJSN
125,Dewan Jaminan Sosial
126,Pemkab Kepulauan Seribu
127,Pemerintah Kab. Kepulauan Seribu
128,Pemkot Jakarta Barat
129,Pemerintah Kota Adminsitrasi Jakarta Barat
130,Pemkot Jakarta Pusat
131,Pemerintah Kota Administrasi Jakarta Pusat
132,Pemkot Jakarta Timur
133,Pemerintah Kota Administrasi Jakarta Timur
134,Pemkot Jakarta Utara
135,Pemerintah Kota Administrasi Jakarta Utara
136,Pemprov DKI Jakarta
137,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta
138,Pemkab Boalemo
139,Pemerintah Boalemo
140,Pemkab Bone Bolango
141,Pemerintah Bone Bolango
142,Pemkab Gorontalo Utara
143,Pemerintah Gorontalo Utara
144,Pemkot Kota Gorontalo
145,Pemprov Gorontalo
146,Pemkab Bungo
147,Pemerintah Bungo
148,Pemkab Kerinci
149,Pemerintah Kerinci
150,Pemkab Tanjung Jabung Timur
151,Pemerintah Tanjung Jabung Timur
152,Pemkab Tebo
153,Pemerintah Tebo
154,Pemkab Bandung Barat
155,Pemerintah Bandung Barat
156,Pemkab Bekasi
157,Pemerintah Bekasi
158,Pemkab Ciamis
159,Pemerintah Ciamis
160,Pemkab Cirebon
161,Pemerintah Cirebon
162,Pemkab Indramayu
163,Pemerintah Indramayu
164,Pemkab Karawang
165,Pemerintah Karawang
166,Pemkab Kuningan
167,Pemerintah Kuningan
168,Pemkab Pangandaran
169,Pemerintah Pangandaran
170,Pemkab Subang
171,Pemerintah Subang
172,Pemkab Sukabumi
173,Pemerintah Sukabumi
174,Pemkab Sumedang
175,Pemerintah Sumedang
176,Pemkot Bandung
177,Pemkot Banjar
178,Pemkot Bekasi
179,Pemkot Cimahi
180,Pemerintah Cimahi
181,Pemkot Depok
182,Pemerintah Depok
183,Pemkot Sukabumi
184,Pemkot Tasikmalaya
185,Pemprov Jawa Barat
186,Pemerintah Jawa Barat
187,Pemprov jabar
188,Pemkab Banjarnegara
189,Pemerintah Banjarnegara
190,Pemkab Banyumas
191,Pemerintah Banyumas
192,Pemkab Batang
193,Pemerintah Batang
194,Pemkab Blora
195,Pemerintah Blora
196,Pemkab Boyolali
197,Pemerintah Boyolali
198,Pemkab Brebes
199,Pemerintah Brebes
200,Pemkab Cilacap
201,Pemerintah Cilacap
202,Pemkab Demak
203,Pemerintah Demak
204,Pemkab Grobogan
205,Pemerintah Grobogan
206,Pemkab Jepara
207,Pemerintah Jepara
208,Pemkab Karanganyar
209,Pemerintah Karanganyar
210,Pemkab Kebumen
211,Pemerintah Kebumen
212,Pemkab Kendal
213,Pemerintah Kendal
214,Pemkab Klaten
215,Pemerintah Klaten
216,Pemkab Pekalongan
217,Pemerintah Pekalongan
218,Pemkab Pemalang
219,Pemerintah Pemalang
220,Pemkab Purbalingga
221,Pemerintah Purbalingga
222,Pemkab Purworejo
223,Pemerintah Purworejo
224,Pemkab Rembang
225,Pemerintah Rembang
226,Pemkab Semarang
227,Pemerintah Semarang
228,Pemkab Sukoharjo
229,Pemerintah Sukoharjo
230,Pemkab Tegal
231,Pemerintah Tegal
232,Pemkab Wonogiri
233,Pemerintah Wonogiri
234,Pemkab Wonosobo
235,Pemerintah Wonosobo
236,Pemkot Salatiga
237,Pemerintah Salatiga
238,Pemprov Jawa Tengah
239,Pemerintah Jawa Tengah
240,Pemprov Jateng
241,Pemkab Bangkalan
242,Pemerintah Bangkalan
243,Pemkab Blitar
244,Pemerintah Blitar
245,Pemkab Bojonegoro
246,Pemerintah Bojonegoro
247,Pemkab Bondowoso
248,Pemerintah Bondowoso
249,Pemkab Jember
250,Pemerintah Jember
251,Pemkab Jombang
252,Pemerintah Jombang
253,Pemkab Kediri
254,Pemerintah Kediri
255,Pemkab Lamongan
256,Pemerintah Lamongan
257,Pemkab Lumajang
258,Pemerintah Lumajang
259,Pemkab Magetan
260,Pemerintah Magetan
261,Pemkab Mojokerto
262,Pemerintah Mojokerto
263,Pemkab Ngawi
264,Pemerintah Ngawi
265,Pemkab Pacitan
266,Pemerintah Pacitan
267,Pemkab Pamekasan
268,Pemerintah Pamekasan
269,Pemkab Pasuruan
270,Pemerintah Pasuruan
271,Pemkab Ponorogo
272,Pemerintah Ponorogo
273,Pemkab Probolinggo
274,Pemerintah Probolinggo
275,Pemkab Sidoarjo
276,Pemerintah Sidoarjo
277,Pemkab Sumenep
278,Pemerintah Sumenep
279,Pemkab Trenggalek
280,Pemerintah Trenggalek
281,Pemkab Tuban
282,Pemerintah Tuban
283,Pemkab Tulungagung
284,Pemerintah Tulungagung
285,Pemkot Batu
286,Pemerintah Batu
287,Pemkot Blitar
288,Pemkot Kediri
289,Pemkot Madiun
290,Pemkot Malang
291,Pemkot Pasuruan
292,Pemprov Jawa Timur
293,Pemerintah Jawa Timur
294,Pemprov Jatim
295,Pemkab Bengkayang
296,Pemerintah Bengkayang
297,Pemkab Kapuas Hulu
298,Pemerintah Kapuas Hulu
299,Pemkab Kayong Utara
300,Pemerintah Kayong Utara
301,Pemkab Ketapang
302,Pemerintah Ketapang
303,Pemkab Kubu Raya
304,Pemerintah Kubu Raya
305,Pemkab Landak
306,Pemerintah Landak
307,Pemkab Mempawah
308,Pemerintah Mempawah
309,Pemkab Sambas
310,Pemerintah Sambas
311,Pemkab Sanggau
312,Pemerintah Sanggau
313,Pemkab Sekadau
314,Pemerintah Sekadau
315,Pemkot Pontianak
316,Pemerintah Pontianak
317,Pemkot Singkawang
318,Pemerintah Singkawang
319,Pemprov Kalimantan Barat
320,Pemerintah Kalimantan Barat
321,Pemprov Kalbar
322,Pemkab Balangan
323,Pemerintah Balangan
324,Pemkab Hulu Sungai Selatan
325,Pemerintah Hulu Sungai Selatan
326,Pemkab Hulu Sungai Tengah
327,Pemerintah Hulu Sungai Tengah
328,Pemkab Hulu Sungai Utara
329,Pemerintah Hulu Sungai Utara
330,Pemkab Tabalong
331,Pemerintah Tabalong
332,Pemkab Aceh Barat
333,Pemkab Aceh Barat Daya
334,Pemkab Aceh Jaya
335,Pemkab Aceh Selatan
336,Pemkab Aceh Tengah
337,Pemkab Alor
338,Pemkab Asmat
339,Pemkab Barito Selatan
340,Pemkab Barito Utara
341,Pemkab Belu
342,Pemkab Biak Numfor
343,Pemkab Bima
344,Pemkab Bintan
345,Pemkab Bireuen
346,Pemkab Boven Digul
347,Pemerintah Kabupaten Boven Digul
348,Pemkab Boven Digoel
349,Pemkab Bulungan
350,Pemkab Buru
351,Pemkab Buru Selatan
352,Pemkab Deiyai
353,Pemkab Dogiyai
354,Pemkab Dompu
355,Pemkab Ende
356,Pemkab Fak Fak
357,Pemerintah Kabupaten Fakfak
358,Pemkab Fakfak
359,Pemkab Gayo Lues
360,Pemkab Gunung Mas
361,Pemkab Halmahera Selatan
362,Pemkab Halmahera Tengah
363,Pemkab Halmahera Utara
364,Pemkab Intan Jaya
365,Pemkab Kapuas
366,Pemkab Keerom
367,Pemkab Kepulauan Aru
368,Pemkab Aru
369,Pemerintah Kabupaten Aru
