No.,Instansi,"Jenis instansi/
Keterangan"
1,Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (AIRNAV),BUMN
2,Perum Bulog,BUMN
3,Perum DAMRI,BUMN
4,PT Jaminan Kredit Indonesia (Jamkrindo),Anper IFG
5,Perum Jasa Tirta I,BUMN
6,Perum Jasa Tirta II,BUMN
7,Perum Kehutanan Negara (Perhutani),BUMN
8,PERUM LEMBAGA KANTOR BERITA NASIONAL ANTARA,BUMN
9,Perum Pembangunan Perumahan Nasional (Perumnas),BUMN
10,Perum Pengangkutan Penumpang Djakarta (PPD),BUMN
11,Perum Percetakan Negara Republik Indonesia (PNRI),BUMN
12,Perum Percetakan Uang Republik Indonesia (Peruri),BUMN
13,Perum Produksi Film Negara (PFN),BUMN
14,"PT Adhi Karya (Persero), Tbk.",BUMN
15,PT Amarta Karya (Persero),BUMN
16,PT Angkasa Pura I (Persero),BUMN
17,PT Angkasa Pura II (Persero),BUMN
18,PT ASABRI (PERSERO),BUMN
19,PT Asdp Indonesia Ferry (Persero),BUMN
20,PT Asuransi Jasa Indonesia (Persero),Anper IFG
21,PT Asuransi Jiwasraya (Persero),BUMN
22,PT Asuransi Kredit Indonesia (Persero),Anper IFG
23,PT Bahana Pembinaan Usaha Indonesia (Persero),BUMN
24,"PT Bank Mandiri (Persero), Tbk.",BUMN
25,"PT Bank Negara Indonesia (Persero), Tbk. (BNI)",BUMN
26,"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)",BUMN
27,"PT BANK TABUNGAN NEGARA (PERSERO), TBK. (BTN)",BUMN
28,PT Barata Indonesia (Persero),BUMN
29,PT Berdikari (Persero),BUMN
30,PT Bhanda Ghara Reksa (Persero),BUMN
31,PT Bina Karya (Persero),BUMN
32,PT BIO FARMA (PERSERO),BUMN
33,PT Biro Klasifikasi Indonesia (Persero),BUMN
34,PT Boma Bisma Indra (Persero),BUMN
35,PT Brantas Abipraya (Persero),BUMN
36,PT Dahana (Persero),BUMN
37,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),BUMN
38,PT Danareksa (Persero),BUMN
39,PT Dirgantara Indonesia (Persero),BUMN
40,PT Djakarta Lloyd (Persero),BUMN
41,"PT Garuda Indonesia (Persero), Tbk.",BUMN
42,PT Dok Dan Perkapalan Kodja Bahari (Persero),BUMN
43,PT ENERGI MANAGEMENT INDONESIA (PERSERO),BUMN
44,PT GARAM (PERSERO),BUMN
45,PT Geodipa Energi,BUMN
46,PT Hotel Indonesia Natour (Persero),BUMN
47,PT Hutama Karya (Persero),BUMN
48,PT Indra Karya (Persero),BUMN
49,PT INDONESIA ASAHAN ALUMUNIUM (PERSERO) (INALUM),BUMN
50,PT Indah Karya (Persero),BUMN
51,PT Industri Kapal Indonesia (Persero),BUMN
52,PT Industri Nuklir Indonesia (Persero),BUMN
53,PT Industri Sandang Nusantara (Persero),BUMN
54,PT Industri Telekomunikasi Indonesia (Persero),BUMN
55,PT Istaka Karya (Persero),BUMN
56,PT. JAKARTA INDUSTRIAL ESTATE PULOGADUNG,BUMN
57,"PT Jasa Marga (Persero), Tbk.",BUMN
58,PT ASURANSI JASA RAHARJA (PERSERO),Anper IFG
59,PT Kawasan Berikat Nusantara (Persero),BUMN
60,PT Kawasan Industri Wijayakusuma (Persero),BUMN
61,"PT KIMIA FARMA (PERSERO), TBK.",Anper Bio Farma
62,PT Kliring Berjangka Indonesia (Persero),BUMN
63,PT Krakatau Steel (Persero) Tbk.,BUMN
64,PT Len Industri (Persero),BUMN
65,PT PAL Indonesia (Persero),BUMN
66,PT PANN Pembiayaan Maritim (Persero),BUMN
67,PT Pegadaian (Persero),Anper BRI
68,PT Pelabuhan Indonesia (Persero),BUMN
69,PT Pelayaran Nasional Indonesia (Persero) (Pelni),BUMN
70,PT Pembangunan Perumahan (Persero),BUMN
71,PT Penerbitan Dan Percetakan Balai Pustaka (Persero),BUMN
72,PT Pengembangan Pariwisata Indonesia (Persero),BUMN
73,PT Pengusahaan Daerah Industri Pulau Batam (Persero),BUMN
