No,Instansi Pelaporan
1,Pemerintah Kabupaten Badung
2,Pemerintah Kabupaten Bangli
3,Pemerintah Kabupaten Buleleng
4,Pemerintah Kabupaten Gianyar
5,Pemerintah Kabupaten Jembrana
6,Pemerintah Kabupaten Karangasem
7,Pemerintah Kabupaten Klungkung
8,Pemerintah Kabupaten Tabanan
9,Pemerintah Kota Denpasar
10,Pemerintah Provinsi Bali
11,Pemerintah Kabupaten Bangka
12,Pemerintah Kabupaten Bangka Barat
13,Pemerintah Kabupaten Bangka Selatan
14,Pemerintah Kabupaten Bangka Tengah
15,Pemerintah Kabupaten Belitung
16,Pemerintah Kabupaten Belitung Timur
17,Pemerintah Kota Pangkalpinang
18,Pemerintah Kabupaten Lebak
19,Pemerintah Kabupaten Pandeglang
20,Pemerintah Kabupaten Serang
21,Pemerintah Kabupaten Tangerang
22,Pemerintah Kota Cilegon
23,Pemerintah Kota Serang
24,Pemerintah Kota Tangerang
25,Pemerintah Kota Tangerang Selatan
26,Pemerintah Provinsi Banten
27,Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (AIRNAV)
28,Pemerintah Kabupaten Bengkulu Selatan
29,Pemerintah Kabupaten Bengkulu Tengah
30,Pemerintah Kabupaten Bengkulu Utara
31,Pemerintah Kabupaten Kaur
32,Pemerintah Kabupaten Kepahiang
33,Pemerintah Kabupaten Lebong
34,Pemerintah Kabupaten Muko Muko
35,Pemerintah Kabupaten Rejang Lebong
36,Pemerintah Kabupaten Seluma
37,Pemerintah Kota Bengkulu
38,Pemerintah Provinsi Bengkulu
39,Pemerintah Kabupaten Bantul
40,Pemerintah Kabupaten Gunung Kidul
41,Pemerintah Kabupaten Kulonprogo
42,Pemerintah Kabupaten Sleman
43,Pemerintah Kota Yogyakarta
44,Pemerintah Provinsi DI Yogyakarta
45,Kementerian Agama
46,Kementerian Agraria dan Tata Ruang/Badan Pertahanan Nasional (BPN)
47,Kementerian Dalam Negeri
48,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi"
49,Kementerian Energi dan Sumber Daya Mineral (ESDM)
50,Kementerian Hukum dan Hak Asasi Manusia
51,Kementerian Lingkungan Hidup dan Kehutanan
52,Kementerian Kelautan dan Perikanan
53,Kementerian Kesehatan
54,Kementerian Ketenagakerjaan
55,Kementerian Keuangan
56,Kementerian Komunikasi dan Informatika
57,Kementerian Koordinator Bidang Kemaritiman dan Investasi
58,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
59,Kementerian Koordinator Bidang Perekonomian
60,"Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan"
61,Kementerian Koperasi dan Usaha Kecil dan Menengah
62,Kementerian Luar Negeri
63,Kementerian Badan Usaha Milik Negara
64,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB)
65,Kementerian Pariwisata dan Ekonomi Kreatif
66,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR)
67,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak
68,Kementerian Pemuda dan Olahraga
69,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
70,Kementerian Perdagangan
71,Kementerian Perencanaan Pembangunan Nasional (PPN)/Badan Perencanaan Pembangunan Nasional (Bappenas)
72,Kementerian Perhubungan
73,Kementerian Perindustrian
74,Kementerian Pertahanan
75,Kementerian Pertanian
76,Kementerian Sekretariat Negara
77,Kementerian Sosial
78,Badan Pemeriksa Keuangan (BPK)
79,Dewan Perwakilan Daerah (DPD)
80,Dewan Perwakilan Rakyat (DPR)
81,Komisi Yudisial
82,Mahkamah Agung (MA)
83,Mahkamah Konstitusi (MK)
84,Majelis Permusyawaratan Rakyat (MPR)
85,Badan Informasi Geospasial (BIG)
86,Badan Kepegawaian Negara (BKN)
87,Badan Intelijen Negara (BIN)
88,Badan Keamanan Laut (Bakamla)
89,Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN)
90,Badan Koordinasi Penanaman Modal (BKPM)
91,Badan Meteorologi Klimatologi Dan Geofisika (BMKG)
92,Badan Narkotika Nasional (BNN)
93,Badan Nasional Penanggulangan Bencana (BNPB)
94,Badan Nasional Penanggulangan Terorisme (BNPT)
95,Badan Pelindungan Pekerja Migran Indonesia
96,Badan Pengawas Obat Dan Makanan (BPOM)
97,Badan Pengawas Pemilihan Umum (Bawaslu)
98,Badan Pengawas Tenaga Nuklir (Bapeten)
99,Badan Pengawasan Keuangan Dan Pembangunan (BPKP)
100,Badan Pengkajian Dan Penerapan Teknologi (BPPT)
101,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam
102,Badan Pusat Statistik (BPS)
103,Badan Search And Rescue Nasional (Basarnas)
104,Badan Siber dan Sandi Negara (BSSN)
105,Badan Standardisasi Nasional (BSN)
106,Badan Tenaga Nuklir Nasional (BATAN)
107,Dewan Ketahanan Nasional (Wantannas)
108,Kejaksaan Republik Indonesia
109,Kepolisian Negara Republik Indonesia
110,Komisi Nasional Hak Asasi Manusia (Komnas HAM)
111,Komisi Pemberantasan Korupsi (KPK)
112,Komisi Pemilihan Umum (KPU)
113,Komisi Pengawas Persaingan Usaha (KPPU)
114,Lembaga Administrasi Negara (LAN)
115,Lembaga Ilmu Pengetehuan Indonesia (LIPI)
116,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP)
117,Lembaga Ketahanan Nasional (Lemhanas)
118,Lembaga Penerbangan Dan Antariksa Nasional (Lapan)
119,Lembaga Penyiaran Publik TVRI
120,Ombudsman Republik Indonesia (ORI)
121,Perpustakaan Nasional Republik Indonesia (Perpusnas)
122,Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK)
123,Sekretariat Kabinet
124,Arsip Nasional Republik Indonesia (ANRI)
125,Tentara Nasional Indonesia (TNI)
126,Komisi Aparatur Sipil Negara (KASN)
127,Badan Nasional Sertifikasi Profesi (BNSP)
128,Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas)
129,Dewan Pertimbangan Presiden (Wantimpres)
130,Komisi Kejaksaan Republik Indonesia
131,Komisi Penyiaran Indonesia (KPI)
132,Lembaga Perlindungan Saksi Dan Korban (LPSK)
133,Pemerintah Kabupaten Kepulauan Seribu
134,Pemerintah Kota Jakarta Barat
135,Pemerintah Kota Jakarta Pusat
136,Pemerintah Kota Jakarta Selatan
137,Pemerintah Kota Jakarta Timur
138,Pemerintah Kota Jakarta Utara
139,Pemerintah Provinsi DKI Jakarta
140,Perum Bulog
141,Perum DAMRI
142,PT Jaminan Kredit Indonesia (Jamkrindo)
143,Perum Jasa Tirta I
144,Perum Jasa Tirta II
145,Perum Kehutanan Negara (Perhutani)
146,Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara)
147,Perum Pembangunan Perumahan Nasional (Perumnas)
148,Perum Pengangkutan Penumpang Djakarta (PPD)
149,Perum Percetakan Negara Republik Indonesia (PNRI)
150,Perum Percetakan Uang Republik Indonesia (Peruri)
151,Perum Produksi Film Negara (PFN)
152,"PT Adhi Karya (Persero), Tbk."
153,PT Amarta Karya (Persero)
154,PT Angkasa Pura I (Persero)
155,PT Angkasa Pura II (Persero)
156,PT Asabri
157,PT Asdp Indonesia Ferry (Persero)
158,PT Asuransi Jasa Indonesia (Persero)
159,PT Asuransi Jiwasraya (Persero)
160,PT Asuransi Kredit Indonesia (Persero)
161,PT Bahana Pembinaan Usaha Indonesia (Persero)
162,"PT Bank Mandiri (Persero), Tbk."
163,"PT Bank Negara Indonesia (Persero), Tbk. (BNI)"
164,"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)"
165,PT Bank Tabungan Negara (Persero) (BTN)
166,PT Barata Indonesia (Persero)
167,PT Berdikari (Persero)
168,PT Bhanda Ghara Reksa (Persero)
169,PT Bina Karya (Persero)
170,PT Bio Farma
171,PT Biro Klasifikasi Indonesia (Persero)
172,PT Boma Bisma Indra (Persero)
173,PT Brantas Abipraya (Persero)
174,PT Dahana (Persero)
