instansi;sinonim;pred;prob
perseta asabri pensiunan polri;Peserta ASABRI Pensiunan Polri;1;0.9958231449127196
pt wijaya karya beton;PT Karunia Bersama Sejahtera;0;0.9971490502357484
pt bgr;PT Eria Makmur;1;0.7320666313171387
dewan perwakilan rakyat daerah;Kantor Perwakilan SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara (Jabanusa);0;0.9934701919555664
pt perkebunan nusantara;PT Perkebunan Nusantara Holding (Persero);1;0.9974551796913148
pt hotel indonesia natour;Hotel Harris;0;0.9886055588722228
pt asuransi jiwasraya persero;Bosowa Asuransi;0;0.9963650703430176
pemerintah kabupaten maluku tenggara barat;Kantor perwakilan SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara (Jabanusa);0;0.9919147491455078
pemerintah provinsi sumatera utara;Pemerintah Provinsi Sumatera Utara;1;0.9985494017601012
indonesia financial group ifg;Ceo Asri Group;1;0.9487497210502625
arsip nasional republik indonesia anri;ANRI;1;0.9962472319602966
badan informasi geospasial;PT. Dunia Media Dinamika Informasi;0;0.9825657606124878
kementerian desa pembangunan daerah tertinggal dan transmigrasi;Desa Jatisuko;0;0.9959037899971008
pt inalum;PT. INALUM;1;0.9981708526611328
kementerian kelautan dan perikanan;Penulis dan Konsultan;0;0.9961930513381958
pt smi;PT. SMI;1;0.9982709884643556
pemkot surakarta;RSJD Surakarta;1;0.99399995803833
pemerintah provinsi sumsel;Pemerintah Provinsi Sumsel;1;0.9987982511520386
nasabah bank mandiri pemilik toko parfum;Nasabah Bank Mandiri/Pemilik Toko Parfum;1;0.9971309900283812
pt surveyor indonesia;PT Surveyor Indonesia;1;0.9987788796424866
pemkab tanah laut;CV Hasil Laut Nusantara;0;0.997986912727356
pt askrindo;ASKRINDO INSURANCE;1;0.9986873269081116
pt bgr;PT Takaya;1;0.9025927186012268
pemkot kota gorontalo;Lanal Gorontalo;1;0.974241018295288
pemkab banggai laut;Bagian Organisasi Setda Kabupaten Banggai Laut;1;0.9846007227897644
pemerintah kabupaten subang;Pemerintah Kabupaten Subang;1;0.9986300468444824
pemerintah kota tangerang;Pemerintahan Kota Tangerang;1;0.99895042181015
pemerintah cirebon;Pemerintah Kabupaten Cirebon;1;0.9988608360290528
nasabah bank mandiri pemilik toko parfum;Toko Alat Tulis 'Hikmah';0;0.9874851107597352
pt reasuransi indonesia utama;PT Reasuransi Indonesia Utama;1;0.9988073110580444
pemerintah kabupaten hulu sungai selatan;Pemerintah Kabupaten Hulu Sungai Selatan;1;0.9989795088768004
pt persero batam;PT Nusa Biru Abadi;0;0.9978468418121338
pt survai udara penas persero;Pusbang SDM Udara;0;0.9816599488258362
pemkab gorontalo utara;Kadis PPPA Kabupaten Gorontalo Utara;1;0.9411722421646118
pemkab pidie jaya;LIMA JAYA LESTARI;0;0.9987403750419616
pemerintah kabupaten kayong utara;Pemerintah Daerah Tingkat II;0;0.999242663383484
pemerintah provinsi maluku;Pemerintah Provinsi Maluku;1;0.9987016916275024
pemkab maros;Kajari Maros;1;0.7650363445281982
pemerintah magelang;Pemerintah Kabupaten Purworejo;1;0.9988994598388672
bank rakyat indonesia cabang sintang;Bank BSI;1;0.9948915243148804
bps provinsi sulawesi utara;BPS Provinsi Sulawesi Utara;1;0.9990707635879515
kementerian pendidikan kebudayaan riset dan teknologi;Satuan Pendidikan;0;0.9956040382385254
pt pal indonesia persero;PT Pal Indonesia (Persero);1;0.9989190101623536
pt bri cabang bojonegoro dan pt bri cabang nganjuk;PT Kafila Pelita Sukses;1;0.6577634811401367
pemkot banjar;Pemerintah Kota Banjar;1;0.9986435770988464
pt penerbitan dan percetakan balai pustaka persero;PT Sun Chang Indonesia;1;0.9919254183769226
pemkab bengkulu selatan;Bagian Perekonomian dan SDA Kab. Bengkulu Selatan;1;0.650367796421051
anggota dpr;Anggota DPR RI;1;0.9980720281600952
badan pusat statistik bps;Badan Pengawasan;0;0.9946247935295104
pt sarana multi infrastruktur persero pt smi;PT Sapta Sarana Sejahtera;0;0.9981845021247864
pt wijaya karya industri konstruksi;PT. Panca Konstruksi;0;0.980649471282959
pemerintah kabupaten gowa;Dinas Pekerjaan Umum dan Perumahan Rakyat pemerintah Kota Pontianak;0;0.9993700385093688
pemerintah kabupaten ogan komering ulu selatan;Ketua Forum Kades Kec. Mulak Ulu (Kades Karang Lebak);0;0.9930227994918824
pemkot bogor;Pemerintah Kota Bogor;1;0.9985888600349426
kementerian desa;Salah satu perangkat desa;0;0.994828760623932
pt telkom indonesia tbk;PT Zurich Topas Life;0;0.997256338596344
pemerintah kabupaten banggai;Pemerintah Kabupaten Banggai;1;0.9988542795181274
askrindo;PT. ASKRINDO Kanwil V Denpasar;1;0.993783950805664
asuransi jiwasraya;ASURANSI SINARMAS;0;0.988911509513855
pemkot surabaya;Hotel JW Marriot Surabaya;1;0.8857693076133728
pt jamkrindo;PT JAMKRINDO;1;0.9987772107124328
pt asdp indonesia ferry;PT. ASDP Indonesia Ferry (Persero);1;0.9981569647789
kementerian koordinator perekonomian;Kementerian Koordinator Perekonomian;1;0.998129427433014
penataran angkatan laut;Kepala Staf Angkatan Laut;1;0.9841304421424866
badan nasional sertifikasi profesi republik indonesia;Yayasan Plan International Indonesia;0;0.9950167536735536
pt smf;PT Passokorang;1;0.9762170910835266
pemerintah kabupaten mojokerto;Pemerintah Daerah Mojokerto;1;0.9988855719566344
pt taman wisata candi borobudur prambanan dan ratu boko;PBF PT United Dico Citas;1;0.9761667847633362
kemenkeu;Pegawai PPPK Kemenkeu;1;0.995060384273529
kemenperin ri;DPR RI;1;0.994513988494873
bnsp republik indonesia;Refinitiv Services Indonesia;1;0.8715271949768066
pt smf;PT Indonesia Comnets Plus (Icon+);1;0.9935901165008544
bank bni cabang maros;Bank BNI Cabang Maros;1;0.9990697503089904
pemprov nusa tenggara barat;Universitas Nusa Putra;0;0.9967336654663086
pt bgr;PT Nusa Niaga Perkasa;1;0.6458371877670288
pemkab cilegon;LAPAS Kelas IIA Cilegon;1;0.9258960485458374
pt smf;PT Swa Medika;1;0.9796523451805116
badan narkotika nasional bnn;Badan Narkotika Nasional Palangkaraya;1;0.6066316366195679
pt indah karya;CV. SINAR PELANGI INDAH;0;0.9889843463897704
pemkot magelang;PT. Nasmoco Magelang;1;0.9978561997413636
pemerintah kabupaten sumenep;Pemerintah Kabupaten Sumenep;1;0.9989023208618164
bnsp republik indonesia;ESRI Indonesia;1;0.9960617423057556
pt pertamina patra niaga;PT. Pertamina Patra Niaga;1;0.9986407160758972
pt indah karya persero;PT. Cipta Karya Millenia Kal-Sel;0;0.994442880153656
kementerian desa;Kepala Desa Kertonegoro;0;0.997786283493042
badan pengatur hilir minyak dan gas bumi bph migas;Hotel Bumi Senyiur;0;0.9941473007202148
badan penyelenggara jaminan sosial ketenagakerjaan;Badan Penyelenggara Jaminan Sosial Ketenagakerjaan;1;0.9983087778091432
pt indra karya;PT INDOFOOD FORTUNA MAKMUR;0;0.9954256415367126
bri kcp bkkbn;BRI KCP BKKBN;1;0.9979909658432008
pemerintah kabupaten aceh besar;Kedutaan Besar China, jabatan Science Counselor;0;0.9881868958473206
no;no;1;0.9902809858322144
komisi pemilihan umum kpu;Komisi Pemilihan Umum;1;0.9738472104072572
pemprov kaltim;Tribun Kaltim;1;0.9631261229515076
perwakilan lembaga ilmu pengetahuan indonesia;Lembaga Pengembangan Perbankan Indonesia (LPPI);0;0.9961355924606324
pln bb;PLN Batubara (PLN BB);1;0.9974915981292723
pemprov sulawesi barat;Dekranasda Provinsi Kalimantan Barat;1;0.9856253266334534
bp2mi jawa barat;Pengadilan Negeri Jakarta Barat;1;0.8958580493927002
pt garuda indonesia persero tbk;PT Garuda Indonesia (Persero), Tbk;1;0.9974203109741212
perum kehutanan negara;Perum Kehutanan Negara (Perhutani);1;0.9987687468528748
pemerintah kabupaten deli serdang;Dinas PPPA Deli Serdang;0;0.9984696507453918
pemkab tanjung jabung barat;Kades Lubuk Seketi Kec. Kikim Barat;1;0.8683575391769409
pemerintah kabupaten malinau;Pemerintah Kabupatan Malinau;1;0.9983968138694764
ptpn iii;PTPN XII;0;0.9323927760124208
pemkab kuningan;Pemerintah Kabupaten Kuningan;1;0.999272644519806
pemkab penajam paser utara;Pemerintah Kabupaten Penajam Paser Utara;1;0.9988804459571838
pemerintah bantul;Pemerintah Kabupaten Sleman;1;0.9988945126533508
pt bgr;PT Tri Dharma Proteksi;1;0.9183180928230286
otoritas jasa keuangan;Politeknik Keuangan STAN;0;0.9925149083137512
pt hotel indonesia natour;Hotel Horison;0;0.98440819978714
