,text_a,text_b,labels,prediksi
0,kementerian koperasi dan usaha kecil dan menengah,kementrian koperasi dan ukm,1,0
1,kementerian koperasi dan usaha kecil dan menengah,kemenkopukm,1,1
2,kementerian koperasi dan usaha kecil dan menengah,ukm,0,0
3,kementerian koperasi dan usaha kecil dan menengah,usaha kecil dan menengah,0,0
4,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,panrb,1,1
5,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,kemen panrb,1,1
6,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,aparatur negara,0,0
7,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,aparatur sipil negara,0,0
8,kementerian pemberdayaan perempuan dan perlindungan anak,kemen pppa,1,1
9,kementerian pemberdayaan perempuan dan perlindungan anak,kementrian pp & pa,1,1
10,kementerian pemberdayaan perempuan dan perlindungan anak,pemberdayaan perempuan,0,0
11,kementerian pemberdayaan perempuan dan perlindungan anak,komisi perlindungan anak indonesia,0,0
12,badan pengawas pemilihan umum bawaslu,badan pengawas pemilu,1,0
13,badan pengawas pemilihan umum bawaslu,inspektur utama badan pengawas pemilihan umum,1,0
14,badan pengawas pemilihan umum bawaslu,komisi pemilihan umum,0,0
15,badan pengawas pemilihan umum bawaslu,panitia pemilihan umum,0,0
16,badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,badan pengusahaan batam (bp batam),1,0
17,badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,bp batam,1,1
18,badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,pemerintah kota batam,0,1
19,badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,universitas batam,0,0
20,badan pusat statistik bps,bps provinsi sulawesi utara,1,0
21,badan pusat statistik bps,badan pusat statistik provinsi bali,1,1
22,badan pusat statistik bps,bpsdm,0,1
23,badan pusat statistik bps,badan standardisasi nasional (bsn),0,0
24,badan search and rescue nasional basarnas,badan sar nasional (basarnas),1,0
25,badan search and rescue nasional basarnas,badan nasional pencarian dan pertolongan (bnpp),1,0
26,badan search and rescue nasional basarnas,badan nasional penanggulangan bencana,0,0
27,badan search and rescue nasional basarnas,badan standardisasi nasional (bsn),0,0
28,komisi nasional hak asasi manusia komnas ham,komisi nasional ham,1,1
29,komisi nasional hak asasi manusia komnas ham,komnas ham,1,1
30,komisi nasional hak asasi manusia komnas ham,kementerian hukum dan hak asasi manusia,0,0
31,komisi nasional hak asasi manusia komnas ham,direktorat fasilitasi dan informasi ham,0,0
32,komisi pemberantasan korupsi kpk,komisi pemberantasan korupsi,1,1
33,komisi pemberantasan korupsi kpk,kpk,1,1
34,komisi pemberantasan korupsi kpk,kpknl,0,1
35,komisi pemberantasan korupsi kpk,komisi pemilihan umum,0,0
36,lembaga administrasi negara lan,lembaga administrasi negara,1,1
37,lembaga administrasi negara lan,lan ri,1,1
38,lembaga administrasi negara lan,jurusan administrasi negara,0,0
39,lembaga administrasi negara lan,sekolah tinggi ilmu administrasi lembaga administrasi negara,0,0
40,perpustakaan nasional republik indonesia perpusnas,perpustakaan nasional ri,1,1
41,perpustakaan nasional republik indonesia perpusnas,perpustakaan nasional republik indonesia,1,1
42,perpustakaan nasional republik indonesia perpusnas,dinas perpustakaan,0,0
43,perpustakaan nasional republik indonesia perpusnas,perpustakaan jakarta cikini,0,0
44,komisi kejaksaan republik indonesia,kkri,1,1
45,komisi kejaksaan republik indonesia,komisi kejaksaan ri,1,1
46,komisi kejaksaan republik indonesia,kejaksaan republik indonesia,0,1
47,komisi kejaksaan republik indonesia,komisi kebenaran dan rekonsiliasi,0,0
48,komisi penyiaran indonesia kpi,komisi penyiaran indonesia pusat,1,0
49,komisi penyiaran indonesia kpi,komisi penyiaran indonesia daerah,1,0
50,komisi penyiaran indonesia kpi,lembaga penyiaran publik,0,0
51,komisi penyiaran indonesia kpi,komisi kejaksaan republik indonesia,0,0
52,dewan perwakilan rakyat daerah dprd,dprd,1,1
53,dewan perwakilan rakyat daerah dprd,dewan perwakilan rakyat daerah,1,1
54,dewan perwakilan rakyat daerah dprd,dpr,0,1
55,dewan perwakilan rakyat daerah dprd,dpd,0,0
56,dewan perwakilan rakyat daerah dprd,dewan perwakilan rakyat,0,1
57,dewan perwakilan rakyat daerah dprd,dewan perwakilan daerah,0,1
58,dewan perwakilan rakyat daerah dprd,dewan,0,0
59,badan pengelola keuangan haji bpkh,badan pengelola keuangan haji,1,1
