,status,reference,instansi
0,yes,kemenko polhukam,kementerian koordinator bidang politik hukum dan keamanan
1,yes,polhukam,kementerian koordinator bidang politik hukum dan keamanan
2,no,koordinator politik,kementerian koordinator bidang politik hukum dan keamanan
3,no,koordinator hukum,kementerian koordinator bidang politik hukum dan keamanan
4,yes,kemlu,kementerian luar negeri
5,yes,kemlu ri,kementerian luar negeri
6,no,luar negeri,kementerian luar negeri
7,no,kementerian dalam negeri,kementerian luar negeri
8,yes,kementerian bumn,kementerian badan usaha milik negara
9,yes,kemen bumn,kementerian badan usaha milik negara
10,no,bumn,kementerian badan usaha milik negara
11,no,badan usaha milik negara,kementerian badan usaha milik negara
12,yes,kemenparekraf,kementerian pariwisata dan ekonomi kreatif
13,yes,kemenparekraf ri,kementerian pariwisata dan ekonomi kreatif
14,no,dinas pariwisata dan kebudayaan kota bogor,kementerian pariwisata dan ekonomi kreatif
15,no,dinas kebudayaan dan pariwisata kota bandung,kementerian pariwisata dan ekonomi kreatif
16,yes,kemen pupr,kementerian pekerjaan umum dan perumahan rakyat pupr
17,yes,kemen pupr ri,kementerian pekerjaan umum dan perumahan rakyat pupr
18,no,dinas pekerjaan umum dan perumahan rakyat pemerintah kota pontiakan,kementerian pekerjaan umum dan perumahan rakyat pupr
19,no,dinas perumahan rakyat dan kawasan permukiman provinsi jawa tengah,kementerian pekerjaan umum dan perumahan rakyat pupr
20,yes,kemenpora,kementerian pemuda dan olahraga
21,yes,kemenpora ri,kementerian pemuda dan olahraga
22,no,dinas pemuda dan olahraga kalimantan selatan,kementerian pemuda dan olahraga
23,no,dinas pemuda dan olahraga pemerintah kota padang,kementerian pemuda dan olahraga
24,yes,kemendikbudristek,kementerian pendidikan kebudayaan riset dan teknologi
25,yes,kemdikbud,kementerian pendidikan kebudayaan riset dan teknologi
26,no,jasa pendidikan,kementerian pendidikan kebudayaan riset dan teknologi
27,no,badan riset dan inovasi nasional,kementerian pendidikan kebudayaan riset dan teknologi
28,yes,kemendag,kementerian perdagangan
29,yes,kemendag ri,kementerian perdagangan
30,no,perdangangan,kementerian perdagangan
31,no,dinas perindustrian dan perdagangan provinsi sumatera barat,kementerian perdagangan
32,yes,kemenhub,kementerian perhubungan
33,yes,kemenhub ri,kementerian perhubungan
34,no,perhubungan,kementerian perhubungan
35,no,dinas perhubungan kota semarang,kementerian perhubungan
36,yes,kemenperin,kementerian perindustrian
37,yes,kemenperin ri,kementerian perindustrian
38,no,industri,kementerian perindustrian
39,no,pt perindustrian bapak djenggot,kementerian perindustrian
40,yes,kemhan,kementerian pertahanan
41,yes,departemen pertahanan,kementerian pertahanan
42,no,badan pertahanan nasional,kementerian pertahanan
43,no,universitas pertahanan,kementerian pertahanan
44,yes,kementan,kementerian pertanian
45,yes,kementan ri,kementerian pertanian
46,no,pertanian,kementerian pertanian
47,no,institut pertanian bogor,kementerian pertanian
48,yes,kemensetneg,kementerian sekretariat negara
49,yes,setneg ri,kementerian sekretariat negara
50,no,sekretariat daerah,kementerian sekretariat negara
51,no,divisi sekretarian perusahaan,kementerian sekretariat negara
52,yes,bpk,badan pemeriksa keuangan bpk
53,yes,badan pemeriksa keuangan,badan pemeriksa keuangan bpk
54,no,bpkp,badan pemeriksa keuangan bpk
55,no,kementerian keuangan,badan pemeriksa keuangan bpk
56,yes,dpd,dewan perwakilan daerah dpd
57,yes,anggota dewan perwakilan daerah,dewan perwakilan daerah dpd
58,no,dewan perwakilan rakyat,dewan perwakilan daerah dpd
59,no,dewan perwakilan rakyat daerah,dewan perwakilan daerah dpd
60,yes,anggota dpr,dewan perwakilan rakyat dpr
61,yes,anggota dewan perwakilan rakyat,dewan perwakilan rakyat dpr
62,no,skk migas perwakilan jawa timur,dewan perwakilan rakyat dpr
63,no,dewan perwakilan daerah dpd,dewan perwakilan rakyat dpr
64,yes,ky,komisi yudisial
65,yes,komisi yudisial ky,komisi yudisial
66,no,anggota dpr ri komisi ix,komisi yudisial
67,no,komisi penyiaran indonesia,komisi yudisial
68,yes,mahkamah agung,mahkamah agung ma
69,yes,ma,mahkamah agung ma
70,no,universitas sultan agung tirtayasa,mahkamah agung ma
71,no,mahkamah konstitusi,mahkamah agung ma
72,yes,mahkamah konstitusi,mahkamah konstitusi mk
73,yes,mk,mahkamah konstitusi mk
74,no,mahkamah agung,mahkamah konstitusi mk
75,no,mahkamah internasional,mahkamah konstitusi mk
76,yes,mpr,majelis permusyawaratan rakyat mpr
77,yes,majelis permusyawaratan rakyat,majelis permusyawaratan rakyat mpr
78,no,koordinator pmpr,majelis permusyawaratan rakyat mpr
79,no,majelis ulama indonesia,majelis permusyawaratan rakyat mpr
80,yes,badan informasi geospasial,badan informasi geospasial big
81,yes,big,badan informasi geospasial big
82,no,badan riset and inovasi nasional,badan informasi geospasial big
83,no,badan tenaga nuklir nasional,badan informasi geospasial big
84,yes,kanreg vi bkn medan,badan kepegawaian negara bkn
85,yes,kantor regional xiv bkn manokwari,badan kepegawaian negara bkn
86,no,badan kepegawaian daerah,badan kepegawaian negara bkn
87,no,direktorat kepegawaian,badan kepegawaian negara bkn
88,yes,bin,badan intelijen negara bin
89,yes,badan intelijen negara,badan intelijen negara bin
90,no,pt perusahaan gas negara persero tbk,badan intelijen negara bin
91,no,sekolah tinggi intelijen negara,badan intelijen negara bin
92,yes,badan keamanan laut,badan keamanan laut bakamla
93,yes,bakamla,badan keamanan laut bakamla
94,no,kementerian kelautan dan perikanan,badan keamanan laut bakamla
